service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1937324,0,0,0,0,0,0,0,20151009,20151218
1937325,0,0,0,0,0,0,0,20151023,20151030
11937320,0,0,0,0,0,0,0,20151008,20151218
1937322,0,0,0,0,0,0,0,20151010,20151212
1937323,0,0,0,0,0,0,0,20151017,20151226
1937320,0,0,0,0,0,0,0,20151007,20151217
1937321,0,0,0,0,0,0,0,20151019,20151231
1937319,0,0,0,0,0,0,0,20151011,20151227
11937325,0,0,0,0,0,0,0,20151024,20151031
11937322,0,0,0,0,0,0,0,20151011,20151213
11937321,0,0,0,0,0,0,0,20151020,20160101
1937326,0,0,0,0,0,0,0,20151011,20151227
11937324,0,0,0,0,0,0,0,20151010,20151219
11937323,0,0,0,0,0,0,0,20151018,20151227
11937319,0,0,0,0,0,0,0,20151012,20151228
