trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1019670321250480,11:35:00,11:35:00,4373006,1,,
1019670321250480,11:35:00,11:35:00,4373008,2,,
1019670321250480,11:37:00,11:37:00,4373009,3,,
1019670321250480,11:38:00,11:38:00,4373010,4,,
1019670321250480,11:39:00,11:39:00,4373011,5,,
1019670321250480,11:40:00,11:40:00,4373012,6,,
1019670321250480,11:41:00,11:41:00,4373013,7,,
1019670321250480,11:43:00,11:43:00,4373014,8,,
1019670321250480,11:44:00,11:44:00,4373016,9,,
1019670321250480,11:46:00,11:46:00,4373018,10,,
1019670321250480,11:47:00,11:47:00,4373020,11,,
1019670321250480,11:48:00,11:48:00,4373021,12,,
1019670321250480,11:49:00,11:49:00,4373022,13,,
1019670321250480,11:51:00,11:51:00,4373023,14,,
1019670321250480,11:53:00,11:53:00,4373025,15,,
1019670371250480,11:35:00,11:35:00,4373006,1,,
1019670371250480,11:35:00,11:35:00,4373008,2,,
1019670371250480,11:37:00,11:37:00,4373009,3,,
1019670371250480,11:38:00,11:38:00,4373010,4,,
1019670371250480,11:39:00,11:39:00,4373011,5,,
1019670371250480,11:40:00,11:40:00,4373012,6,,
1019670371250480,11:41:00,11:41:00,4373013,7,,
1019670371250480,11:43:00,11:43:00,4373014,8,,
1019670371250480,11:44:00,11:44:00,4373016,9,,
1019670371250480,11:46:00,11:46:00,4373018,10,,
1019670371250480,11:47:00,11:47:00,4373020,11,,
1019670371250480,11:48:00,11:48:00,4373021,12,,
1019670371250480,11:49:00,11:49:00,4373022,13,,
1019670371250480,11:51:00,11:51:00,4373023,14,,
1019670371250480,11:53:00,11:53:00,4373025,15,,
1019670401250480,11:35:00,11:35:00,4373006,1,,
1019670401250480,11:35:00,11:35:00,4373008,2,,
1019670401250480,11:37:00,11:37:00,4373009,3,,
1019670401250480,11:38:00,11:38:00,4373010,4,,
1019670401250480,11:39:00,11:39:00,4373011,5,,
1019670401250480,11:40:00,11:40:00,4373012,6,,
1019670401250480,11:41:00,11:41:00,4373013,7,,
1019670401250480,11:43:00,11:43:00,4373014,8,,
1019670401250480,11:44:00,11:44:00,4373016,9,,
1019670401250480,11:46:00,11:46:00,4373018,10,,
1019670401250480,11:47:00,11:47:00,4373020,11,,
1019670401250480,11:48:00,11:48:00,4373021,12,,
1019670401250480,11:49:00,11:49:00,4373022,13,,
1019670401250480,11:51:00,11:51:00,4373023,14,,
1019670401250480,11:53:00,11:53:00,4373025,15,,
1019670441250480,11:35:00,11:35:00,4373006,1,,
1019670441250480,11:35:00,11:35:00,4373008,2,,
1019670441250480,11:37:00,11:37:00,4373009,3,,
1019670441250480,11:38:00,11:38:00,4373010,4,,
1019670441250480,11:39:00,11:39:00,4373011,5,,
1019670441250480,11:40:00,11:40:00,4373012,6,,
1019670441250480,11:41:00,11:41:00,4373013,7,,
1019670441250480,11:43:00,11:43:00,4373014,8,,
1019670441250480,11:44:00,11:44:00,4373016,9,,
1019670441250480,11:46:00,11:46:00,4373018,10,,
1019670441250480,11:47:00,11:47:00,4373020,11,,
1019670441250480,11:48:00,11:48:00,4373021,12,,
1019670441250480,11:49:00,11:49:00,4373022,13,,
1019670441250480,11:51:00,11:51:00,4373023,14,,
1019670441250480,11:53:00,11:53:00,4373025,15,,
1119670321250480,12:05:00,12:05:00,4373006,1,,
1119670321250480,12:05:00,12:05:00,4373008,2,,
1119670321250480,12:07:00,12:07:00,4373009,3,,
1119670321250480,12:08:00,12:08:00,4373010,4,,
1119670321250480,12:09:00,12:09:00,4373011,5,,
1119670321250480,12:10:00,12:10:00,4373012,6,,
1119670321250480,12:11:00,12:11:00,4373013,7,,
1119670321250480,12:13:00,12:13:00,4373014,8,,
1119670321250480,12:14:00,12:14:00,4373016,9,,
1119670321250480,12:16:00,12:16:00,4373018,10,,
1119670321250480,12:17:00,12:17:00,4373020,11,,
1119670321250480,12:18:00,12:18:00,4373021,12,,
1119670321250480,12:19:00,12:19:00,4373022,13,,
1119670321250480,12:21:00,12:21:00,4373023,14,,
1119670321250480,12:23:00,12:23:00,4373025,15,,
1119670371250480,12:05:00,12:05:00,4373006,1,,
1119670371250480,12:05:00,12:05:00,4373008,2,,
1119670371250480,12:07:00,12:07:00,4373009,3,,
1119670371250480,12:08:00,12:08:00,4373010,4,,
1119670371250480,12:09:00,12:09:00,4373011,5,,
1119670371250480,12:10:00,12:10:00,4373012,6,,
1119670371250480,12:11:00,12:11:00,4373013,7,,
1119670371250480,12:13:00,12:13:00,4373014,8,,
1119670371250480,12:14:00,12:14:00,4373016,9,,
1119670371250480,12:16:00,12:16:00,4373018,10,,
1119670371250480,12:17:00,12:17:00,4373020,11,,
1119670371250480,12:18:00,12:18:00,4373021,12,,
1119670371250480,12:19:00,12:19:00,4373022,13,,
1119670371250480,12:21:00,12:21:00,4373023,14,,
1119670371250480,12:23:00,12:23:00,4373025,15,,
1119670401250480,12:05:00,12:05:00,4373006,1,,
1119670401250480,12:05:00,12:05:00,4373008,2,,
1119670401250480,12:07:00,12:07:00,4373009,3,,
1119670401250480,12:08:00,12:08:00,4373010,4,,
1119670401250480,12:09:00,12:09:00,4373011,5,,
1119670401250480,12:10:00,12:10:00,4373012,6,,
1119670401250480,12:11:00,12:11:00,4373013,7,,
1119670401250480,12:13:00,12:13:00,4373014,8,,
1119670401250480,12:14:00,12:14:00,4373016,9,,
1119670401250480,12:16:00,12:16:00,4373018,10,,
1119670401250480,12:17:00,12:17:00,4373020,11,,
1119670401250480,12:18:00,12:18:00,4373021,12,,
1119670401250480,12:19:00,12:19:00,4373022,13,,
1119670401250480,12:21:00,12:21:00,4373023,14,,
1119670401250480,12:23:00,12:23:00,4373025,15,,
1119670441250480,12:05:00,12:05:00,4373006,1,,
