from_stop_id,to_stop_id,transfer_type,min_transfer_time
4022892,3811242,2,77
5074005,3811275,2,71
3747816,3811286,2,55
2150,3811267,2,199
4036657,3811286,2,54
4037210,3811242,2,59
3764480,3811279,2,12
3764480,3811278,2,15
3764799,3811232,2,46
3764475,3811275,2,71
3343766,3811284,2,201
4022889,3811238,2,20
3811274,3813503,2,89
2144,3811240,2,229
2144,3811241,2,210
3893341,3811286,2,71
2212,3811292,2,281
2213,3811224,2,207
2213,3811223,2,217
4473278,3811278,2,26
5121363,3811267,2,78
3813046,3811254,2,54
3747815,3811286,2,80
3765227,3811248,2,88
4008204,3811286,2,95
3765227,3811249,2,107
3716943,3811234,2,85
4022890,3811241,2,25
3926210,3811286,2,45
5289144,3811267,2,78
4008835,3811286,2,28
3926211,3811286,2,71
3764606,3811224,2,57
3764606,3811223,2,49
1958,3811292,2,281
4473349,3811275,2,71
3343334,3811274,2,191
3343334,3811275,2,251
3764478,3811276,2,18
3765442,3811236,2,16
4037271,3811292,2,73
3765442,3811237,2,75
4996965,3811224,2,57
4996965,3811223,2,49
3813044,3811256,2,44
3813044,3811257,2,64
4008203,3811231,2,72
3812947,3811267,2,62
5018144,3811225,2,94
4473281,3811277,2,18
3807599,3811272,2,68
3764479,3811279,2,10
3811275,3813503,2,80
4022891,3811240,2,25
4726918,3811232,2,62
3893340,3811232,2,46
4473278,3811279,2,25
4459243,3811286,2,80
3747813,3811232,2,62
4037773,3811242,2,59
4008205,3811285,2,28
3813132,3811249,2,99
3813132,3811248,2,52
5289115,3811267,2,36
3747976,3811225,2,49
1957,3811292,2,281
3765192,3811232,2,62
3666619,3811223,2,49
4037777,3811238,2,20
3666619,3811224,2,57
3748032,3811292,2,73
4037206,3811238,2,20
3740298,3811225,2,94
2212,3811223,2,217
2212,3811224,2,207
3343767,3811286,2,229
2213,3811292,2,281
4036860,3811292,2,73
3343763,3811236,2,198
3343763,3811237,2,209
3811292,4035729,2,81
1982,3811236,2,198
1982,3811237,2,209
4016441,3811289,2,80
4473279,3811279,2,10
5018491,3811274,2,63
3811247,2043,2,276
4023032,3811240,2,25
4009640,3811235,2,15
4009640,3811234,2,92
3749735,3811289,2,59
3813045,3811256,2,25
3813045,3811257,2,64
3764606,3811292,2,81
4211803,3811225,2,94
2251,3811260,2,292
4739208,3811234,2,85
2031,3811267,2,199
4473356,3811274,2,63
4726719,3811267,2,62
4008203,3811286,2,71
3716943,3811284,2,56
1957,3811223,2,217
1957,3811224,2,207
3811231,2227,2,216
3764465,3811267,2,68
3764476,3811274,2,71
2224141,3811232,2,27
3811236,2170,2,198
4211802,3811225,2,49
2226,3811230,2,195
2226,3811231,2,216
3811230,1972,2,195
4008202,3811231,2,64
4010685,3811224,2,22
4473350,3811278,2,26
4010685,3811223,2,35
4473350,3811279,2,25
3764651,3811223,2,42
3764651,3811224,2,54
1869,3811234,2,205
3343336,3811271,2,270
3343336,3811270,2,263
5018186,3811286,2,25
3343765,3811234,2,205
3747906,3811223,2,11
4473351,3811279,2,10
4726752,3811248,2,91
4037774,3811242,2,77
4726920,3811286,2,80
4010729,3811292,2,90
2053,3811232,2,217
3807562,3811223,2,11
3811243,2200,2,194
3811243,2201,2,194
5074006,3811277,2,18
4016318,3811229,2,105
4726919,3811232,2,46
3893342,3811286,2,55
4022953,3811242,2,103
1846,3811232,2,261
3893408,3811240,2,25
4022953,3811243,2,63
2015,3811289,2,244
4036754,3811286,2,80
3740505,3811290,2,41
2077,3811224,2,207
2077,3811223,2,217
4037207,3811241,2,25
3893471,3811243,2,63
3893471,3811242,2,103
3807561,3811224,2,68
3807561,3811223,2,55
2224140,3811232,2,27
3749908,3811242,2,59
3749908,3811243,2,23
4008282,3811233,2,28
3893339,3811232,2,62
3764477,3811277,2,18
3741052,3811223,2,11
3749907,3811245,2,45
3343766,3811234,2,205
3926212,3811232,2,46
4023038,3811242,2,103
4726921,3811286,2,54
4008428,3811246,2,47
4008428,3811247,2,46
4023038,3811243,2,63
3749903,3811248,2,91
3764732,3811243,2,62
3666771,3811223,2,49
3666771,3811224,2,57
3811242,1946,2,200
3811242,1945,2,200
4473037,3811272,2,68
2336,3811234,2,205
4022888,3811239,2,20
3807563,3811223,2,49
3807563,3811224,2,57
4009638,3811237,2,75
3811240,2083,2,229
4009638,3811236,2,16
3926213,3811232,2,62
3764732,3811242,2,11
3765149,3811231,2,82
3765149,3811232,2,91
