from_stop_id,to_stop_id,transfer_type,min_transfer_time
3900955,1716,2,300
3900949,4211811,2,63
5355365,3900959,2,29
3900940,5150192,2,18
4000573,3900951,2,92
4000573,3900952,2,113
3900952,1717,2,156
3900943,4574174,2,136
5355359,3900962,2,126
3900942,5150194,2,23
3900941,4574174,2,54
4996945,3900925,2,60
3900954,1716,2,300
4996945,3900926,2,80
4996945,3900924,2,60
3900952,5150202,2,50
4000540,3900949,2,133
3900952,5150699,2,72
4000540,3900948,2,100
5355368,3900943,2,136
3900932,3908821,2,120
5355368,3900942,2,121
5355368,3900941,2,54
2243,3900940,2,181
5355368,3900940,2,74
2243,3900941,2,201
3900941,4758964,2,54
3900955,2461,2,300
3900950,5150201,2,16
5355393,3900933,2,13
4996973,3900929,2,125
3900950,5157427,2,135
3900951,5157465,2,107
5355361,3900962,2,110
5355393,3900932,2,133
5355361,3900961,2,13
4996972,3900925,2,55
4996972,3900924,2,55
3900924,4035710,2,60
3900966,4035735,2,80
3900952,4179716,2,35
3900940,4758963,2,29
3900952,4179715,2,50
3900940,4758964,2,74
5355366,3900939,2,19
3900925,4035710,2,60
4000542,3900952,2,35
3900951,1717,2,192
3900951,2462,2,192
3900952,5157465,2,72
3900955,4179719,2,55
4000545,3900956,2,92
3900950,5150661,2,135
5355392,3900936,2,8
4000545,3900954,2,55
4000545,3900955,2,55
3900952,4798987,2,108
4000539,3900949,2,63
3900952,4798986,2,89
3900926,3922450,2,96
3900951,4009067,2,45
3900938,4758965,2,19
3900962,3908823,2,110
3900962,3908821,2,126
3900962,3908822,2,126
4996946,3900966,2,87
3900939,4758966,2,19
4010662,3900966,2,9
3900954,4179748,2,142
3900951,4799005,2,126
4010664,3900966,2,87
3900951,4799004,2,102
5355362,3900935,2,12
3900949,5150625,2,63
3900942,4758964,2,121
3900932,3908822,2,120
3900932,3908823,2,119
4000576,3900956,2,92
4000576,3900955,2,55
4000576,3900954,2,55
3900950,2462,2,168
3900948,5157427,2,139
4000534,3900941,2,17
4000534,3900940,2,18
3901291,3900961,2,210
3900924,4035735,2,55
3901291,3900962,2,234
5355363,3900934,2,12
3900925,4035735,2,55
4010665,3900926,2,96
4010663,3900966,2,60
3900954,2461,2,300
4010733,3900926,2,89
5355360,3900962,2,124
3900951,5150202,2,45
3900945,5150195,2,22
3741081,3900941,2,29
3900926,4035711,2,100
3900926,4035710,2,80
3900952,4009067,2,50
3900951,4179715,2,45
3900951,5150699,2,107
3900951,4179717,2,35
3900946,5150198,2,10
3900952,4211813,2,87
3900940,4574173,2,29
3900940,4574174,2,74
3900942,4574174,2,121
3900961,3908823,2,13
3741082,3900940,2,18
3741082,3900941,2,17
5355391,3900937,2,29
5355361,3900932,2,119
3900959,3908824,2,29
3900926,3750048,2,71
4996973,3900965,2,31
4000533,3900942,2,121
4000533,3900943,2,136
5355367,3900938,2,19
3900938,4574175,2,19
3900950,4799004,2,103
3900939,4574176,2,19
3900950,4799005,2,79
4996946,3900926,2,27
3900952,4211770,2,72
3900954,4179719,2,55
4996946,3900925,2,80
4996946,3900924,2,80
3900943,4758964,2,136
5355364,3900960,2,8
3900948,5150200,2,63
3900950,4798987,2,79
3901292,3900932,2,227
3901292,3900933,2,198
3900950,4798986,2,103
3900949,5157426,2,63
3900950,4009073,2,16
3900952,4799005,2,108
3900952,4799004,2,89
3900951,4211770,2,107
4000570,3900955,2,142
4000570,3900954,2,142
4996972,3900966,2,80
3901291,3900933,2,198
4010663,3900926,2,54
4010663,3900925,2,0
3900943,5150193,2,23
4010663,3900924,2,0
4010662,3900924,2,56
3900941,5150191,2,29
4010662,3900925,2,56
3900941,5150192,2,17
5355369,3900940,2,29
3900956,4179719,2,92
3901292,3900961,2,210
3900949,5150660,2,63
4010662,3900926,2,71
3901292,3900962,2,234
3900948,5150661,2,139
3901291,3900932,2,227
4010664,3900926,2,27
4010664,3900925,2,80
4996944,3900928,2,132
4010664,3900924,2,80
5355359,3900932,2,120
4996944,3900929,2,93
3900947,5150197,2,10
4000543,3900951,2,35
3900926,3750022,2,85
3900955,4179748,2,142
5355360,3900932,2,117
4000533,3900941,2,54
4000533,3900940,2,74
1918,3900940,2,181
3900944,5150196,2,22
1918,3900941,2,201
3900949,5150199,2,63
4000574,3900952,2,35
3900952,2462,2,156
5355393,3900962,2,124
3900966,3750048,2,97
3900950,1717,2,168
3900966,3750047,2,108
3900951,4798986,2,102
3900951,4798987,2,126
3900951,4211813,2,108
