route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1368738,1927673,1019276730875589,,10,0,
1368738,1927674,1019276740875589,,10,0,
1368738,1927675,1019276750875589,,10,0,
1368738,1927676,1019276760875589,,10,0,
1368738,1927677,1019276770875589,,10,0,
1368738,1927678,1019276780875589,,10,0,
1368738,1927673,1119276730875589,,11,0,
1368738,1927674,1119276740875589,,11,0,
1368738,1927675,1119276750875589,,11,0,
1368738,1927676,1119276760875589,,11,0,
1368738,1927677,1119276770875589,,11,0,
1368738,1927678,1119276780875589,,11,0,
1368738,1927673,119276730875589,,1,0,
1368738,1927674,119276740875589,,1,0,
1368738,1927675,119276750875589,,1,0,
1368738,1927676,119276760875589,,1,0,
1368738,1927677,119276770875589,,1,0,
1368738,1927678,119276780875589,,1,0,
1368738,1927673,1219276730875589,,12,0,
1368738,1927674,1219276740875589,,12,0,
1368738,1927675,1219276750875589,,12,0,
1368738,1927676,1219276760875589,,12,0,
1368738,1927677,1219276770875589,,12,0,
1368738,1927678,1219276780875589,,12,0,
1368738,1927673,1319276730875589,,13,0,
1368738,1927674,1319276740875589,,13,0,
1368738,1927675,1319276750875589,,13,0,
1368738,1927676,1319276760875589,,13,0,
1368738,1927677,1319276770875589,,13,0,
1368738,1927678,1319276780875589,,13,0,
1368738,1927673,1419276730875589,,14,0,
1368738,1927674,1419276740875589,,14,0,
1368738,1927675,1419276750875589,,14,0,
1368738,1927676,1419276760875589,,14,0,
1368738,1927677,1419276770875589,,14,0,
1368738,1927678,1419276780875589,,14,0,
1368738,1927673,1519276730875589,,15,0,
1368738,1927674,1519276740875589,,15,0,
1368738,1927675,1519276750875589,,15,0,
1368738,1927676,1519276760875589,,15,0,
1368738,1927677,1519276770875589,,15,0,
1368738,1927678,1519276780875589,,15,0,
1368738,1927673,1619276730875589,,16,0,
1368738,1927674,1619276740875589,,16,0,
1368738,1927675,1619276750875589,,16,0,
1368738,1927676,1619276760875589,,16,0,
1368738,1927677,1619276770875589,,16,0,
1368738,1927678,1619276780875589,,16,0,
1368738,1927673,1719276730875589,,17,0,
1368738,1927674,1719276740875589,,17,0,
1368738,1927675,1719276750875589,,17,0,
1368738,1927676,1719276760875589,,17,0,
1368738,1927677,1719276770875589,,17,0,
1368738,1927678,1719276780875589,,17,0,
1368738,1927673,1819276730875589,,18,0,
1368738,1927674,1819276740875589,,18,0,
1368738,1927675,1819276750875589,,18,0,
1368738,1927676,1819276760875589,,18,0,
1368738,1927677,1819276770875589,,18,0,
1368738,1927678,1819276780875589,,18,0,
1368738,1927673,1919276730875589,,19,0,
1368738,1927674,1919276740875589,,19,0,
1368738,1927675,1919276750875589,,19,0,
1368738,1927676,1919276760875589,,19,0,
1368738,1927677,1919276770875589,,19,0,
1368738,1927678,1919276780875589,,19,0,
1368738,1927673,2019276730875589,,20,0,
1368738,1927674,2019276740875589,,20,0,
1368738,1927675,2019276750875589,,20,0,
1368738,1927676,2019276760875589,,20,0,
1368738,1927677,2019276770875589,,20,0,
1368738,1927678,2019276780875589,,20,0,
1368738,1927673,2119276730875589,,21,0,
1368738,1927674,2119276740875589,,21,0,
1368738,1927675,2119276750875589,,21,0,
1368738,1927676,2119276760875589,,21,0,
1368738,1927677,2119276770875589,,21,0,
1368738,1927678,2119276780875589,,21,0,
1368738,1927673,219276730875589,,2,0,
1368738,1927674,219276740875589,,2,0,
1368738,1927675,219276750875589,,2,0,
1368738,1927676,219276760875589,,2,0,
1368738,1927677,219276770875589,,2,0,
1368738,1927678,219276780875589,,2,0,
1368738,1927673,2219276730875589,,22,0,
1368738,1927674,2219276740875589,,22,0,
1368738,1927675,2219276750875589,,22,0,
1368738,1927676,2219276760875589,,22,0,
1368738,1927677,2219276770875589,,22,0,
1368738,1927678,2219276780875589,,22,0,
1368738,1927673,2319276730875589,,23,0,
1368738,1927674,2319276740875589,,23,0,
1368738,1927675,2319276750875589,,23,0,
1368738,1927676,2319276760875589,,23,0,
1368738,1927677,2319276770875589,,23,0,
1368738,1927678,2319276780875589,,23,0,
1368738,1927673,2419276730875589,,24,0,
1368738,1927674,2419276740875589,,24,0,
1368738,1927675,2419276750875589,,24,0,
1368738,1927676,2419276760875589,,24,0,
1368738,1927677,2419276770875589,,24,0,
1368738,1927678,2419276780875589,,24,0,
1368738,1927673,2519276730875589,,25,0,
1368738,1927674,2519276740875589,,25,0,
1368738,1927675,2519276750875589,,25,0,
1368738,1927676,2519276760875589,,25,0,
1368738,1927677,2519276770875589,,25,0,
1368738,1927678,2519276780875589,,25,0,
1368738,1927673,2619276730875589,,26,0,
1368738,1927674,2619276740875589,,26,0,
1368738,1927675,2619276750875589,,26,0,
1368738,1927676,2619276760875589,,26,0,
1368738,1927677,2619276770875589,,26,0,
1368738,1927678,2619276780875589,,26,0,
1368738,1927673,2719276730875589,,27,0,
1368738,1927674,2719276740875589,,27,0,
1368738,1927675,2719276750875589,,27,0,
1368738,1927676,2719276760875589,,27,0,
1368738,1927677,2719276770875589,,27,0,
1368738,1927678,2719276780875589,,27,0,
1368738,1927673,2819276730875589,,28,0,
1368738,1927674,2819276740875589,,28,0,
1368738,1927675,2819276750875589,,28,0,
1368738,1927676,2819276760875589,,28,0,
1368738,1927677,2819276770875589,,28,0,
1368738,1927678,2819276780875589,,28,0,
1368738,1927673,2919276730875589,,29,0,
1368738,1927674,2919276740875589,,29,0,
1368738,1927675,2919276750875589,,29,0,
1368738,1927676,2919276760875589,,29,0,
1368738,1927677,2919276770875589,,29,0,
1368738,1927678,2919276780875589,,29,0,
