from_stop_id,to_stop_id,transfer_type,min_transfer_time
4557331,3718088,2,143
4557331,3718087,2,105
3743475,4036232,2,35
3619431,3718090,2,112
4614419,4180943,2,29
4614429,3718022,2,144
3683549,4180942,2,59
3683549,4180941,2,105
3683549,4180940,2,139
3718064,3619343,2,127
3718064,3619344,2,66
3743460,3619367,2,23
5478355,3718117,2,32
4557331,3718078,2,128
3718023,4036175,2,69
4557331,3718079,2,105
3683475,3718028,2,128
3718082,4036172,2,104
3683549,3718088,2,89
3718014,3619366,2,23
4557332,3718030,2,59
4723885,3718117,2,32
3619419,3743478,2,29
3743509,4036232,2,35
3718075,4036234,2,59
4614348,3718038,2,64
4614348,3718039,2,81
3619431,3718072,2,112
4557332,3718028,2,128
3743464,4036237,2,57
3619427,3718075,2,128
3743461,3619364,2,53
4614421,3743471,2,139
4614421,3743472,2,89
4614465,3743474,2,74
3718115,3619450,2,74
3718115,3619451,2,85
3718105,5150706,2,92
4614419,3718117,2,62
4614465,3743472,2,143
4614465,3743473,2,85
3683475,3718030,2,59
3619420,3743509,2,35
5478356,3718086,2,11
4557333,3718026,2,139
4557333,3718027,2,89
4557333,3718028,2,105
4557333,3718029,2,59
3683474,4180942,2,128
5478356,3718081,2,11
5478356,3718080,2,65
3718017,3619365,2,53
3743514,4036181,2,27
3743517,3619354,2,45
3619425,3743472,2,59
3718081,5150150,2,73
4557331,3718076,2,143
4614422,3718077,2,128
4798790,3718117,2,36
4557332,3718115,2,128
4614421,3718029,2,59
4614421,3718027,2,89
3743502,4036175,2,69
4614421,3718028,2,105
3743506,4036177,2,59
3619421,3743510,2,35
4614421,3718026,2,139
3743497,4036238,2,123
4557332,3718116,2,14
4614420,4180943,2,35
3683474,3743506,2,143
3683474,3743507,2,85
3683474,3743508,2,74
4557333,3718115,2,105
4557333,3718116,2,73
4180941,4036233,2,74
3743514,3619445,2,27
4180941,4036234,2,143
3743479,3619445,2,27
4557332,3718087,2,59
4614422,3718087,2,59
3683475,3718116,2,14
3683475,3718115,2,128
3743489,3619353,2,45
4614423,3718079,2,89
4614423,3718077,2,143
3743460,4036170,2,23
4614423,3718075,2,59
3718027,4036177,2,59
4557332,3718079,2,59
4614422,3718079,2,59
3718033,4036172,2,123
3683549,3743471,2,139
3718016,3619364,2,53
3743488,3619356,2,41
4180939,4036235,2,23
4557332,3718077,2,128
3743478,4036180,2,29
3743485,3619357,2,14
3743485,3619359,2,97
3718114,4036234,2,72
3619427,3718026,2,128
3718010,3619363,2,75
3683549,3743472,2,89
5478356,3718032,2,46
4614424,3718088,2,59
4614423,3718087,2,89
3743485,3619360,2,71
4614424,3718087,2,139
4180943,2024,2,224
3743459,3619366,2,23
3619427,3743471,2,128
3718083,3619352,2,11
3743474,4036178,2,19
4614424,3743472,2,59
5478356,3718031,2,65
3718086,2024,2,189
4723886,4180943,2,65
4614421,3718088,2,89
4557336,3718088,2,97
4614423,3743471,2,59
4614426,3743469,2,71
3743463,4036238,2,123
3683476,3718032,2,18
3619423,3718115,2,85
3743471,3619452,2,119
4614424,3718076,2,59
4614426,3743470,2,86
4557331,3743474,2,74
4614424,3718079,2,139
3619429,3743470,2,139
3743473,4036233,2,19
3743462,3619365,2,53
4557331,3743472,2,143
4614421,3718078,2,59
3619431,3718023,2,112
4557331,3743473,2,85
3718011,5150706,2,81
4614421,3718076,2,89
3718026,3619452,2,119
4614421,3718077,2,105
3619423,3718028,2,85
4614421,3718075,2,139
4557336,3718075,2,119
4557336,3718076,2,97
3683550,4180940,2,119
3619426,4180939,2,122
4557331,3718030,2,105
3743505,3619452,2,119
3718086,2143,2,189
3619431,3743468,2,112
4614386,3718038,2,78
4614386,3718039,2,95
4180940,3619452,2,119
4557331,3718027,2,143
4614429,3743501,2,144
4180943,2143,2,224
4557331,3718029,2,128
3619417,3743480,2,27
3718117,2143,2,193
3718079,4036234,2,89
3718037,4614288,2,15
4614423,3718030,2,89
4614423,3718026,2,59
4614421,3743505,2,139
4614421,3743506,2,89
4614423,3718028,2,143
3718015,3619367,2,23
3718117,5150150,2,53
4798790,3718031,2,8
4557333,3743472,2,89
3718056,3619359,2,111
4557333,3743471,2,139
3718056,3619358,2,14
4180929,3619353,2,45
4798790,3718032,2,21
3683550,3718027,2,97
4614419,3718080,2,29
4614419,3718081,2,82
3619429,3718089,2,139
3619418,3743477,2,29
3718094,3619343,2,127
3718032,5150150,2,38
3718046,3619348,2,13
3683474,3718116,2,139
3718094,3619344,2,66
4614387,3718041,2,66
3743505,4036234,2,59
4614419,3718086,2,82
3718076,3619452,2,97
3718087,4036234,2,89
3619429,3718074,2,139
4614420,3718032,2,53
4614420,3718031,2,35
4614425,3743504,2,40
4614425,3743503,2,16
5478355,4180943,2,65
4614422,4180941,2,128
4180941,3619450,2,74
4180941,3619451,2,85
3743499,4036173,2,57
5478357,3718117,2,116
3743472,4036177,2,59
3718109,4036238,2,123
3743461,4036239,2,53
4723887,3718117,2,116
4614423,3718115,2,143
4614423,3718114,2,72
3743513,4036181,2,27
3683550,3718114,2,132
3619417,3743479,2,27
3718097,3619354,2,45
3619424,3743471,2,59
3743481,4036172,2,123
4557335,3718117,2,36
3718056,3619360,2,84
4614426,3718089,2,86
3683549,3718027,2,89
3683549,3718028,2,105
3718077,3619451,2,85
3619430,3718090,2,120
3619422,3743473,2,19
3683549,3718026,2,139
3619422,3718077,2,74
3683549,3718029,2,59
3718077,3619450,2,74
3718016,4036239,2,53
3619424,3718087,2,89
3718031,5150150,2,21
3718088,3619452,2,97
4614421,3718116,2,73
4614421,3718115,2,105
3718018,4036238,2,123
3718079,4036177,2,139
3743507,4036233,2,19
3619426,3718073,2,122
3619426,3718074,2,102
3718063,3619344,2,100
3619422,4180941,2,74
3683474,3718029,2,128
3743508,3619451,2,19
3683475,4180941,2,128
3619424,3718077,2,143
3743480,3619445,2,27
3619424,3718075,2,59
4557336,3718026,2,119
4614419,3718031,2,29
3718025,4036176,2,23
4614419,3718032,2,47
4557336,3718027,2,97
3619424,3718079,2,89
3718086,3619742,2,54
3718022,4036236,2,69
3718047,3619348,2,0
3683474,3718030,2,105
3619423,3718077,2,85
3718057,3619355,2,41
3718047,3619347,2,14
4614426,3743504,2,86
4614426,3743503,2,71
3743471,4036234,2,59
4614420,3718080,2,35
4614420,3718081,2,88
3718031,2143,2,224
4614420,3718086,2,88
4614425,3743470,2,40
4798790,3718086,2,57
3718114,3619452,2,132
3683474,3718027,2,143
4798790,3718080,2,8
3718081,2024,2,189
3683476,3718117,2,33
3619426,3743469,2,122
4798790,3718081,2,57
4557336,3718114,2,132
3718020,4036173,2,57
3718067,4036238,2,123
4614425,3743469,2,16
3718032,3619742,2,18
3743490,3619351,2,11
3743476,3619449,2,35
3683549,3718075,2,139
3718117,2024,2,193
4614424,3743506,2,59
4614421,4180940,2,139
4614421,4180941,2,105
4614421,4180942,2,59
4557335,3718031,2,8
4557335,3718032,2,21
3743515,4036172,2,104
3619426,3718089,2,102
3619422,3718028,2,74
3683550,3718026,2,119
3718030,4036234,2,89
3743512,4036180,2,29
3718077,4036178,2,85
3683549,3718077,2,105
3683475,3718079,2,59
3619426,3743470,2,102
3683549,3718076,2,89
3718011,3619363,2,63
3619429,3718025,2,139
3683475,3718077,2,128
3683549,3718078,2,59
3743465,4036173,2,57
4557333,4180942,2,59
3718084,3619354,2,45
3743477,3619446,2,29
4557333,4180940,2,139
3743486,3619359,2,111
3718028,4036234,2,143
4557333,4180941,2,105
3743486,3619358,2,14
3718028,4036233,2,74
4180938,4036236,2,69
4614465,4180942,2,128
4557336,3743505,2,119
4557336,3743506,2,97
4557336,3743507,2,135
3743456,5150706,2,81
4614423,4180941,2,143
4614347,3718040,2,66
4614423,4180940,2,59
3683475,3718087,2,59
3619419,3743512,2,29
3743486,3619360,2,84
3718081,2143,2,189
4614425,3718074,2,40
4614423,3743505,2,59
4614465,3718076,2,143
3718117,3619742,2,33
3619424,3718028,2,143
3619424,3718026,2,59
3718039,4614338,2,128
4614425,3718073,2,16
3743493,3619344,2,100
3619424,3718030,2,89
3619430,3718023,2,120
3619425,3718114,2,13
3718031,2024,2,224
3743455,3619363,2,75
4557334,3718117,2,33
3743510,4036179,2,35
3743515,4036238,2,66
3743472,3619452,2,97
3718075,3619452,2,119
3619423,4180941,2,85
4614465,3718087,2,105
4614425,3718089,2,40
4614465,3718088,2,143
3619430,3743468,2,120
3743513,3619445,2,27
3683474,3718076,2,143
