trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1019877290941230,17:30:00,17:30:00,4025353,1,,
1019877290941230,17:33:00,17:33:00,4025355,2,,
1019877290941230,17:34:00,17:34:00,4025356,3,,
1019877290941230,17:34:00,17:34:00,4025358,4,,
1019877290941230,17:36:00,17:36:00,4025359,5,,
1019877290941230,17:37:00,17:37:00,4025361,6,,
1019877290941230,17:39:00,17:39:00,4025363,7,,
1019877290941230,17:40:00,17:40:00,4025365,8,,
1019877290941230,17:41:00,17:41:00,4025367,9,,
1019877290941230,17:43:00,17:43:00,4025368,10,,
1019877290941230,17:45:00,17:45:00,4025369,11,,
1019877290941230,17:46:00,17:46:00,4025370,12,,
1019877290941230,17:47:00,17:47:00,4025371,13,,
1019877290941230,17:49:00,17:49:00,4025372,14,,
1019877290941230,17:50:00,17:50:00,4025373,15,,
1019877290941230,17:51:00,17:51:00,4025374,16,,
1019877290941230,17:53:00,17:53:00,4025376,17,,
1019877290941230,17:53:00,17:53:00,4025378,18,,
1119877290941230,18:00:00,18:00:00,4025353,1,,
1119877290941230,18:03:00,18:03:00,4025355,2,,
1119877290941230,18:04:00,18:04:00,4025356,3,,
1119877290941230,18:04:00,18:04:00,4025358,4,,
1119877290941230,18:06:00,18:06:00,4025359,5,,
1119877290941230,18:07:00,18:07:00,4025361,6,,
1119877290941230,18:09:00,18:09:00,4025363,7,,
1119877290941230,18:10:00,18:10:00,4025365,8,,
1119877290941230,18:11:00,18:11:00,4025367,9,,
1119877290941230,18:13:00,18:13:00,4025368,10,,
1119877290941230,18:15:00,18:15:00,4025369,11,,
1119877290941230,18:16:00,18:16:00,4025370,12,,
1119877290941230,18:17:00,18:17:00,4025371,13,,
1119877290941230,18:19:00,18:19:00,4025372,14,,
1119877290941230,18:20:00,18:20:00,4025373,15,,
1119877290941230,18:21:00,18:21:00,4025374,16,,
1119877290941230,18:23:00,18:23:00,4025376,17,,
1119877290941230,18:23:00,18:23:00,4025378,18,,
119877290941230,06:20:00,06:20:00,4025353,1,,
119877290941230,06:23:00,06:23:00,4025355,2,,
119877290941230,06:24:00,06:24:00,4025356,3,,
119877290941230,06:25:00,06:25:00,4025358,4,,
119877290941230,06:26:00,06:26:00,4025359,5,,
119877290941230,06:28:00,06:28:00,4025361,6,,
119877290941230,06:29:00,06:29:00,4025363,7,,
119877290941230,06:31:00,06:31:00,4025365,8,,
119877290941230,06:32:00,06:32:00,4025367,9,,
119877290941230,06:34:00,06:34:00,4025368,10,,
119877290941230,06:36:00,06:36:00,4025369,11,,
119877290941230,06:37:00,06:37:00,4025370,12,,
119877290941230,06:39:00,06:39:00,4025371,13,,
119877290941230,06:41:00,06:41:00,4025372,14,,
119877290941230,06:42:00,06:42:00,4025373,15,,
119877290941230,06:43:00,06:43:00,4025374,16,,
119877290941230,06:45:00,06:45:00,4025376,17,,
119877290941230,06:45:00,06:45:00,4025378,18,,
119877300941230,09:00:00,09:00:00,4025353,1,,
119877300941230,09:03:00,09:03:00,4025355,2,,
119877300941230,09:04:00,09:04:00,4025356,3,,
119877300941230,09:04:00,09:04:00,4025358,4,,
119877300941230,09:06:00,09:06:00,4025359,5,,
119877300941230,09:07:00,09:07:00,4025361,6,,
119877300941230,09:09:00,09:09:00,4025363,7,,
119877300941230,09:10:00,09:10:00,4025365,8,,
119877300941230,09:11:00,09:11:00,4025367,9,,
119877300941230,09:13:00,09:13:00,4025368,10,,
119877300941230,09:15:00,09:15:00,4025369,11,,
119877300941230,09:16:00,09:16:00,4025370,12,,
119877300941230,09:17:00,09:17:00,4025371,13,,
119877300941230,09:18:00,09:18:00,4025372,14,,
119877300941230,09:19:00,09:19:00,4025373,15,,
119877300941230,09:21:00,09:21:00,4025374,16,,
119877300941230,09:22:00,09:22:00,4025376,17,,
119877300941230,09:22:00,09:22:00,4025378,18,,
1219877290941230,18:30:00,18:30:00,4025353,1,,
1219877290941230,18:33:00,18:33:00,4025355,2,,
1219877290941230,18:34:00,18:34:00,4025356,3,,
1219877290941230,18:34:00,18:34:00,4025358,4,,
1219877290941230,18:36:00,18:36:00,4025359,5,,
1219877290941230,18:37:00,18:37:00,4025361,6,,
1219877290941230,18:39:00,18:39:00,4025363,7,,
1219877290941230,18:40:00,18:40:00,4025365,8,,
1219877290941230,18:41:00,18:41:00,4025367,9,,
1219877290941230,18:43:00,18:43:00,4025368,10,,
1219877290941230,18:45:00,18:45:00,4025369,11,,
1219877290941230,18:46:00,18:46:00,4025370,12,,
1219877290941230,18:47:00,18:47:00,4025371,13,,
1219877290941230,18:49:00,18:49:00,4025372,14,,
1219877290941230,18:50:00,18:50:00,4025373,15,,
1219877290941230,18:51:00,18:51:00,4025374,16,,
1219877290941230,18:53:00,18:53:00,4025376,17,,
1219877290941230,18:53:00,18:53:00,4025378,18,,
1319877290941230,19:00:00,19:00:00,4025353,1,,
1319877290941230,19:03:00,19:03:00,4025355,2,,
1319877290941230,19:04:00,19:04:00,4025356,3,,
1319877290941230,19:04:00,19:04:00,4025358,4,,
1319877290941230,19:06:00,19:06:00,4025359,5,,
1319877290941230,19:07:00,19:07:00,4025361,6,,
1319877290941230,19:09:00,19:09:00,4025363,7,,
1319877290941230,19:10:00,19:10:00,4025365,8,,
1319877290941230,19:11:00,19:11:00,4025367,9,,
1319877290941230,19:13:00,19:13:00,4025368,10,,
1319877290941230,19:15:00,19:15:00,4025369,11,,
1319877290941230,19:16:00,19:16:00,4025370,12,,
1319877290941230,19:17:00,19:17:00,4025371,13,,
1319877290941230,19:19:00,19:19:00,4025372,14,,
1319877290941230,19:20:00,19:20:00,4025373,15,,
1319877290941230,19:21:00,19:21:00,4025374,16,,
1319877290941230,19:23:00,19:23:00,4025376,17,,
1319877290941230,19:23:00,19:23:00,4025378,18,,
219877290941230,06:50:00,06:50:00,4025353,1,,
219877290941230,06:53:00,06:53:00,4025355,2,,
219877290941230,06:54:00,06:54:00,4025356,3,,
219877290941230,06:55:00,06:55:00,4025358,4,,
219877290941230,06:56:00,06:56:00,4025359,5,,
219877290941230,06:58:00,06:58:00,4025361,6,,
219877290941230,06:59:00,06:59:00,4025363,7,,
219877290941230,07:01:00,07:01:00,4025365,8,,
219877290941230,07:02:00,07:02:00,4025367,9,,
219877290941230,07:04:00,07:04:00,4025368,10,,
219877290941230,07:06:00,07:06:00,4025369,11,,
219877290941230,07:07:00,07:07:00,4025370,12,,
219877290941230,07:09:00,07:09:00,4025371,13,,
219877290941230,07:11:00,07:11:00,4025372,14,,
219877290941230,07:12:00,07:12:00,4025373,15,,
219877290941230,07:13:00,07:13:00,4025374,16,,
219877290941230,07:15:00,07:15:00,4025376,17,,
219877290941230,07:15:00,07:15:00,4025378,18,,
219877300941230,09:30:00,09:30:00,4025353,1,,
219877300941230,09:33:00,09:33:00,4025355,2,,
219877300941230,09:34:00,09:34:00,4025356,3,,
219877300941230,09:34:00,09:34:00,4025358,4,,
219877300941230,09:36:00,09:36:00,4025359,5,,
219877300941230,09:37:00,09:37:00,4025361,6,,
219877300941230,09:39:00,09:39:00,4025363,7,,
219877300941230,09:40:00,09:40:00,4025365,8,,
219877300941230,09:41:00,09:41:00,4025367,9,,
219877300941230,09:42:00,09:42:00,4025368,10,,
219877300941230,09:44:00,09:44:00,4025369,11,,
219877300941230,09:45:00,09:45:00,4025370,12,,
219877300941230,09:46:00,09:46:00,4025371,13,,
219877300941230,09:47:00,09:47:00,4025372,14,,
219877300941230,09:48:00,09:48:00,4025373,15,,
219877300941230,09:50:00,09:50:00,4025374,16,,
219877300941230,09:51:00,09:51:00,4025376,17,,
219877300941230,09:51:00,09:51:00,4025378,18,,
319877290941230,07:20:00,07:20:00,4025353,1,,
319877290941230,07:23:00,07:23:00,4025355,2,,
319877290941230,07:24:00,07:24:00,4025356,3,,
319877290941230,07:25:00,07:25:00,4025358,4,,
319877290941230,07:26:00,07:26:00,4025359,5,,
319877290941230,07:28:00,07:28:00,4025361,6,,
319877290941230,07:29:00,07:29:00,4025363,7,,
319877290941230,07:31:00,07:31:00,4025365,8,,
319877290941230,07:32:00,07:32:00,4025367,9,,
319877290941230,07:34:00,07:34:00,4025368,10,,
319877290941230,07:36:00,07:36:00,4025369,11,,
319877290941230,07:37:00,07:37:00,4025370,12,,
319877290941230,07:39:00,07:39:00,4025371,13,,
319877290941230,07:41:00,07:41:00,4025372,14,,
319877290941230,07:42:00,07:42:00,4025373,15,,
319877290941230,07:43:00,07:43:00,4025374,16,,
319877290941230,07:45:00,07:45:00,4025376,17,,
319877290941230,07:45:00,07:45:00,4025378,18,,
319877300941230,16:30:00,16:30:00,4025353,1,,
319877300941230,16:33:00,16:33:00,4025355,2,,
319877300941230,16:34:00,16:34:00,4025356,3,,
319877300941230,16:35:00,16:35:00,4025358,4,,
319877300941230,16:36:00,16:36:00,4025359,5,,
319877300941230,16:38:00,16:38:00,4025361,6,,
319877300941230,16:39:00,16:39:00,4025363,7,,
319877300941230,16:41:00,16:41:00,4025365,8,,
319877300941230,16:42:00,16:42:00,4025367,9,,
319877300941230,16:44:00,16:44:00,4025368,10,,
319877300941230,16:46:00,16:46:00,4025369,11,,
319877300941230,16:47:00,16:47:00,4025370,12,,
319877300941230,16:48:00,16:48:00,4025371,13,,
319877300941230,16:49:00,16:49:00,4025372,14,,
319877300941230,16:50:00,16:50:00,4025373,15,,
319877300941230,16:52:00,16:52:00,4025374,16,,
319877300941230,16:53:00,16:53:00,4025376,17,,
319877300941230,16:53:00,16:53:00,4025378,18,,
419877290941230,07:50:00,07:50:00,4025353,1,,
419877290941230,07:53:00,07:53:00,4025355,2,,
419877290941230,07:54:00,07:54:00,4025356,3,,
419877290941230,07:55:00,07:55:00,4025358,4,,
419877290941230,07:56:00,07:56:00,4025359,5,,
419877290941230,07:58:00,07:58:00,4025361,6,,
419877290941230,07:59:00,07:59:00,4025363,7,,
419877290941230,08:01:00,08:01:00,4025365,8,,
419877290941230,08:02:00,08:02:00,4025367,9,,
419877290941230,08:04:00,08:04:00,4025368,10,,
419877290941230,08:06:00,08:06:00,4025369,11,,
419877290941230,08:07:00,08:07:00,4025370,12,,
419877290941230,08:09:00,08:09:00,4025371,13,,
419877290941230,08:11:00,08:11:00,4025372,14,,
419877290941230,08:12:00,08:12:00,4025373,15,,
419877290941230,08:13:00,08:13:00,4025374,16,,
419877290941230,08:15:00,08:15:00,4025376,17,,
419877290941230,08:15:00,08:15:00,4025378,18,,
419877300941230,17:00:00,17:00:00,4025353,1,,
419877300941230,17:03:00,17:03:00,4025355,2,,
419877300941230,17:04:00,17:04:00,4025356,3,,
419877300941230,17:05:00,17:05:00,4025358,4,,
419877300941230,17:06:00,17:06:00,4025359,5,,
419877300941230,17:08:00,17:08:00,4025361,6,,
419877300941230,17:09:00,17:09:00,4025363,7,,
419877300941230,17:11:00,17:11:00,4025365,8,,
419877300941230,17:12:00,17:12:00,4025367,9,,
419877300941230,17:14:00,17:14:00,4025368,10,,
419877300941230,17:16:00,17:16:00,4025369,11,,
419877300941230,17:17:00,17:17:00,4025370,12,,
419877300941230,17:18:00,17:18:00,4025371,13,,
419877300941230,17:19:00,17:19:00,4025372,14,,
419877300941230,17:20:00,17:20:00,4025373,15,,
419877300941230,17:22:00,17:22:00,4025374,16,,
419877300941230,17:23:00,17:23:00,4025376,17,,
419877300941230,17:23:00,17:23:00,4025378,18,,
519877290941230,08:25:00,08:25:00,4025353,1,,
519877290941230,08:28:00,08:28:00,4025355,2,,
519877290941230,08:29:00,08:29:00,4025356,3,,
519877290941230,08:29:00,08:29:00,4025358,4,,
519877290941230,08:31:00,08:31:00,4025359,5,,
519877290941230,08:32:00,08:32:00,4025361,6,,
