from_stop_id,to_stop_id,transfer_type,min_transfer_time
4364030,4614682,2,97
3713072,4364045,2,51
4199377,4364002,2,43
4199377,4364001,2,43
3687724,4363998,2,19
4364037,3616908,2,22
4109787,4364033,2,23
5231586,4364003,2,19
5231635,4364002,2,119
3687733,4363982,2,15
4036257,4364034,2,30
4364035,4614588,2,141
4109811,4364034,2,40
4364001,3688115,2,119
4109811,4364035,2,72
4364044,3685835,2,67
4364002,3687593,2,13
4364044,3685834,2,79
4472817,4364035,2,30
4364018,3685728,2,74
4364045,4363987,2,63
3683520,3687733,2,70
4036260,3687737,2,61
4036334,4364035,2,30
3688543,4364013,2,81
3688543,4364014,2,95
3713017,4364018,2,74
4557264,3687733,2,70
3687737,3616901,2,61
3713017,4364017,2,71
3683520,4364021,2,50
3683520,4364020,2,70
3687738,4614682,2,97
3688543,3687729,2,81
4472813,4364039,2,73
4472813,4364038,2,80
5231635,4364001,2,119
3683588,4364021,2,52
4472818,4364033,2,28
3683588,4364020,2,68
4472818,4364032,2,41
5231640,4364012,2,18
4492570,4364000,2,13
4364032,4614680,2,41
3687738,3616903,2,97
4364039,3616910,2,73
4364002,1873,2,192
4364002,4036617,2,43
4364020,3687625,2,15
5231586,3687724,2,19
4364020,3687624,2,15
4364039,4614675,2,27
4364028,4614684,2,61
4364038,4614674,2,27
4364002,3688115,2,119
4036332,4364031,2,97
4364001,4364000,2,13
4364037,4614677,2,22
3687724,3687595,2,19
4364029,3616900,2,61
3688577,3687729,2,66
4472820,4364030,2,97
4364037,4614778,2,22
4036328,4364023,2,21
4364045,3687614,2,35
4364023,3616894,2,21
4364045,3687615,2,63
4364039,4614586,2,27
4364028,3616901,2,61
4492570,3688115,2,119
3687678,4364002,2,128
4364039,4614585,2,67
4199377,4492570,2,43
4364039,3616911,2,54
3687678,4364001,2,128
3687733,3446791,2,27
4364032,4614681,2,36
4364032,3616905,2,41
4472822,4364028,2,61
4364001,4459282,2,119
4364032,3616904,2,36
4364008,3687598,2,25
3687731,3685783,2,71
4364003,3687595,2,19
4364008,4937265,2,90
4364026,3446797,2,53
3713022,4364017,2,68
4364042,4614583,2,47
4364023,4363983,2,21
4364022,3687622,2,21
4364021,3446792,2,27
4364044,3687616,2,48
3687731,3685778,2,68
4364044,3685726,2,67
3683588,3687733,2,68
4364006,3687596,2,21
5231588,4364002,2,43
4364042,4614780,2,47
5231588,4364001,2,43
3683439,4364017,2,71
4036255,4364038,2,45
3683439,4364018,2,74
4036255,4364039,2,54
5231637,4364006,2,21
3683439,3687731,2,71
3713078,3687731,2,68
4364045,3685836,2,63
4364044,3685725,2,67
3687678,4492570,2,128
4364038,3616910,2,80
4364038,4614585,2,40
4364038,3616911,2,45
5231638,4364008,2,115
4036259,4364030,2,97
4472828,4364022,2,21
3687725,3687597,2,21
4692734,3687739,2,59
3687726,4937265,2,49
4109787,3687739,2,59
3687739,4614681,2,57
5231588,4492570,2,43
3687739,4614680,2,31
4364018,3685783,2,74
4557265,4364021,2,52
4364033,4614681,2,40
4364033,4614680,2,28
4364036,4614676,2,22
4557265,4364020,2,68
4492570,3688076,2,119
4364035,3616906,2,30
4492570,4036617,2,43
4472823,4364029,2,61
4364033,3616905,2,28
4364033,3616904,2,40
4036259,3687738,2,97
5231636,4364004,2,19
4364002,4364000,2,13
4472819,4364033,2,40
4364027,3446798,2,27
4364027,3446797,2,115
4472819,4364032,2,36
4472828,3687734,2,21
4036333,4364033,2,40
3687739,3616904,2,57
4364001,3687593,2,13
4036333,4364032,2,36
3687739,3616905,2,31
4364001,2269,2,192
5231583,3687727,2,134
4109800,4364034,2,40
4364034,3616907,2,30
4109800,4364035,2,72
3713078,4364017,2,68
4199339,4492570,2,25
4472816,4364034,2,30
4364023,3687623,2,21
4364041,4614671,2,83
4472812,4364039,2,54
4364003,4363998,2,19
4472812,4364038,2,45
4364041,4614672,2,53
5231641,4364014,2,25
4364042,4614672,2,47
4472818,3687739,2,31
4036256,4364036,2,22
4036263,4364022,2,21
4472814,4364036,2,22
4364031,4614683,2,97
4472815,4364037,2,22
5231585,4364005,2,21
4036263,3687734,2,21
5231582,4364011,2,18
4364001,3688076,2,119
3687731,3685838,2,71
4199339,4364001,2,25
4557264,4364021,2,50
4199339,4364002,2,25
4557264,4364020,2,70
4036258,4364033,2,28
4036258,4364032,2,41
4364020,4363982,2,15
4557271,4364018,2,74
3687731,3685833,2,68
4557271,4364017,2,71
3713023,4364044,2,89
3713022,3687731,2,68
5231581,3687729,2,25
3713079,4364044,2,89
4109810,3687739,2,59
5231584,4364007,2,115
5231581,4364013,2,25
3687680,4492570,2,43
