from_stop_id,to_stop_id,transfer_type,min_transfer_time
4739210,4036747,2,23
3724088,3716913,2,77
4739210,4036749,2,81
3716896,1166831,2,216
3716896,1166830,2,216
3716917,4439458,2,123
3343765,3716875,2,279
3716931,3748095,2,102
3724088,4739153,2,77
3716966,4037537,2,102
3716910,3686300,2,73
4723892,4739151,2,35
3716875,4008206,2,92
3343766,4739208,2,209
3716875,4008207,2,15
3716883,3764810,2,15
4739160,5325151,2,68
4739160,5325152,2,14
3716970,3887814,2,31
3343808,4739150,2,188
3716894,3765257,2,102
3716917,4439436,2,123
3716944,3893337,2,42
3716951,4458844,2,89
3716944,3893338,2,59
4739206,4009636,2,100
4739206,4009635,2,82
3343766,3716943,2,209
3716945,3926216,2,28
3343808,3716908,2,189
3716926,4036206,2,102
3716877,4037204,2,16
3716943,3811234,2,85
3716933,4036819,2,76
3343763,3716877,2,209
5478246,3716952,2,38
3716895,4471843,2,84
3716874,4008889,2,66
3716908,3663594,2,18
3716895,4471844,2,90
3716893,3887816,2,67
3716908,3686539,2,29
4739210,1724,2,225
3716966,4035989,2,102
3724088,3716907,2,119
2467,4739210,2,225
4739210,1723,2,225
3716931,5454910,2,93
3716931,5454911,2,102
3716945,1166840,2,225
3343808,3716910,2,188
2467,3716945,2,225
3724111,3716951,2,35
3716945,1166841,2,225
3716902,4439436,2,130
3716975,1811,2,272
3686714,4739153,2,68
3716874,4036827,2,64
3716941,4009636,2,100
3716941,4009635,2,82
5478402,3716907,2,79
3716910,3686540,2,73
2482,4739200,2,201
3716928,3765254,2,60
3716956,4037544,2,22
4739158,5325153,2,36
3716926,4996975,2,35
3716926,4996974,2,26
4739207,4009638,2,75
4739209,5018222,2,49
3716975,2167,2,283
4739210,4037283,2,23
3716873,4037283,2,23
4739165,3813087,2,27
4739164,2068,2,196
4739171,3748095,2,102
3716975,2350,2,272
3716884,3893396,2,66
4739210,3749690,2,79
3716920,5325152,2,14
3765442,4739207,2,75
3716920,5325151,2,68
3716945,4472689,2,33
5478238,4739160,2,52
4739150,3686299,2,25
3716903,4037524,2,22
3716976,1811,2,276
4022884,4739205,2,90
3716924,2117,2,196
3686716,4739152,2,38
3716894,4726945,2,88
3716874,4008836,2,99
3716894,4726944,2,83
4739166,4997023,2,81
3716965,4035987,2,27
3716908,3663565,2,18
4739166,3765257,2,81
3716874,4009641,2,18
3716943,4008281,2,56
1889,4739209,2,241
4739209,3926215,2,42
3716874,1890,2,254
4739209,3926214,2,59
3716910,3619744,2,73
3716910,3619743,2,36
4739150,3663714,2,73
3716908,3686299,2,51
3716971,5454888,2,102
3716910,3686539,2,45
3724087,4739153,2,81
3716926,3813085,2,102
3716910,3781668,2,27
4739162,4037540,2,45
3716933,4439621,2,76
3716910,3781667,2,73
3716874,4016360,2,56
4723814,3716907,2,119
3716950,4037547,2,56
3716889,3887813,2,59
4739208,3811234,2,85
3716966,4036206,2,102
3716930,3765200,2,31
3716941,4037289,2,100
3716887,1811,2,272
3716944,4008836,2,89
3716944,3740516,2,76
3716966,4726945,2,102
3716936,3893352,2,79
4723814,3716913,2,77
4739166,2210,2,225
3716888,5018403,2,38
4022884,3716940,2,90
3716884,3893352,2,32
5478365,3716920,2,14
3716943,3811284,2,56
3716942,4037793,2,75
3716893,4471841,2,95
4739166,2211,2,225
3716944,4036751,2,59
3716962,3765297,2,24
3716944,4036750,2,49
3716950,3686300,2,73
4739164,4035985,2,43
4739166,4726945,2,102
3716927,4037261,2,30
4739209,3764797,2,59
4739209,3764796,2,42
4022883,4739205,2,90
3716926,4037537,2,102
3716960,4037542,2,39
3343807,4739150,2,188
3716944,3747812,2,59
3716944,3747811,2,42
3716945,4045022,2,79
3716885,3893395,2,51
5478365,3716900,2,52
4739165,4035987,2,27
4739210,3749916,2,23
4739210,3749915,2,28
3716893,3765196,2,103
3716922,3765297,2,24
3716973,4036819,2,76
3716877,4009637,2,75
3343764,4739207,2,209
3716879,5138038,2,107
4739168,3765254,2,60
3716966,2211,2,225
3716965,2068,2,208
3716976,4439506,2,26
3716976,4439505,2,38
4739166,1956,2,225
4739166,1955,2,225
3716951,4037546,2,89
3716966,2210,2,225
4723814,3716953,2,77
3716966,3813085,2,102
3716883,4016364,2,15
3716922,3765267,2,45
3343805,4739153,2,202
1722,4739210,2,225
3716976,2350,2,276
4739166,4036206,2,102
3716895,4996975,2,70
4723815,3716952,2,38
3716895,4996974,2,77
4739150,4035970,2,56
5478365,3716960,2,14
1672,3716935,2,201
4739207,4037793,2,75
3716950,3686540,2,73
4739151,4458844,2,89
3716926,4471844,2,12
4739208,1166839,2,209
4739208,1166838,2,209
3716944,4009665,2,18
3716874,3926214,2,72
3716924,4035985,2,43
3716895,4726944,2,84
3716944,4008889,2,49
3716913,4458842,2,16
3716874,3926215,2,56
3716950,3686539,2,45
3716920,1166828,2,421
3716920,1166829,2,421
3716879,4045015,2,107
1722,3716945,2,225
3716889,3748050,2,81
3716962,3765267,2,45
4739167,4037261,2,30
5478365,4739160,2,14
3724089,4739152,2,38
3716875,2336,2,279
3716895,2210,2,198
3716895,2211,2,198
3716945,5018192,2,23
4723815,3716912,2,38
3343763,4739207,2,209
3716873,4472773,2,79
3343808,3716950,2,188
3716975,3748049,2,51
4739209,1890,2,241
4008422,3716877,2,16
3686715,4739153,2,77
3343807,3716950,2,188
5478377,3716913,2,77
3716944,4726916,2,42
3724086,3716913,2,68
5478245,3716907,2,119
3716895,3926339,2,88
3716944,4726917,2,59
4739210,4037359,2,23
3716936,3812924,2,56
4739210,4037361,2,81
3716961,4037541,2,57
3716971,3748095,2,102
4739209,4008836,2,89
3716935,3687471,2,55
5478377,3716907,2,119
4739171,3813104,2,102
4739150,3619743,2,36
3716966,4997023,2,81
4739150,3619744,2,73
4739208,1869,2,209
3716944,2286,2,241
3716931,3887813,2,102
4739207,1982,2,209
4739207,1980,2,209
3716887,2167,2,283
3716944,3765150,2,89
3716944,3765151,2,76
5478285,3716912,2,38
3716911,4037546,2,89
2482,3716886,2,209
3716933,5018383,2,76
3716944,4473118,2,76
2482,3716885,2,217
3716939,5138176,2,93
4723801,3716920,2,52
4739166,4035989,2,102
4008422,3716942,2,59
4739171,3887813,2,102
4739203,3926244,2,57
3716950,3686374,2,25
3716889,3748095,2,45
3716950,3686375,2,73
3716908,3781668,2,52
4739171,5454911,2,102
4739171,5454910,2,93
3716877,1980,2,209
3716877,1982,2,209
3716966,4996974,2,26
3343805,3716953,2,202
3716966,4996975,2,35
4739199,4439621,2,76
3716967,3673585,2,30
3724086,4739153,2,68
3716944,4459241,2,42
3716924,3813089,2,43
4739208,3811284,2,56
3716924,1166831,2,196
3724087,3716913,2,81
3716924,1166830,2,196
4739209,4008889,2,49
3716944,3926215,2,42
4723802,4739160,2,14
4022887,3716877,2,15
3716874,4036660,2,64
4739168,3887816,2,60
3716944,3926214,2,59
4739199,4036819,2,76
3716961,1166829,2,385
3716960,1166829,2,421
3716961,1166828,2,385
3724086,3716953,2,68
3716960,1166828,2,421
1889,3716874,2,254
3716889,3813072,2,81
