trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1019713940866802,13:45:00,13:45:00,3664981,1,,
1019713940866802,13:47:00,13:47:00,3664983,2,,
1019713940866802,13:48:00,13:48:00,3664985,3,,
1019713940866802,13:50:00,13:50:00,3664986,4,,
1019713940866802,13:54:00,13:54:00,3664988,5,,
1019713940866802,13:56:00,13:56:00,3664989,6,,
1019713940866802,13:58:00,13:58:00,3664991,7,,
1019713940866802,14:00:00,14:00:00,3664993,8,,
1019713940866802,14:01:00,14:01:00,3664995,9,,
1019713940866802,14:03:00,14:03:00,3664996,10,,
1019713940866802,14:05:00,14:05:00,3664997,11,,
1019713940866802,14:06:00,14:06:00,3664998,12,,
1019713940866802,14:08:00,14:08:00,3664999,13,,
1019713940866802,14:09:00,14:09:00,3665001,14,,
1019713940866802,14:10:00,14:10:00,3665003,15,,
1019713940866802,14:11:00,14:11:00,3665004,16,,
1019713940866802,14:12:00,14:12:00,3665005,17,,
1019713940866802,14:13:00,14:13:00,3665006,18,,
1019713940866802,14:16:00,14:16:00,3665008,19,,
1019713940866802,14:18:00,14:18:00,3665010,20,,
1019713940866802,14:20:00,14:20:00,3665012,21,,
1019713960866802,13:45:00,13:45:00,3664981,1,,
1019713960866802,13:47:00,13:47:00,3664983,2,,
1019713960866802,13:48:00,13:48:00,3664985,3,,
1019713960866802,13:50:00,13:50:00,3664986,4,,
1019713960866802,13:54:00,13:54:00,3664988,5,,
1019713960866802,13:56:00,13:56:00,3664989,6,,
1019713960866802,13:58:00,13:58:00,3664991,7,,
1019713960866802,14:00:00,14:00:00,3664993,8,,
1019713960866802,14:01:00,14:01:00,3664995,9,,
1019713960866802,14:03:00,14:03:00,3664996,10,,
1019713960866802,14:05:00,14:05:00,3664997,11,,
1019713960866802,14:06:00,14:06:00,3664998,12,,
1019713960866802,14:08:00,14:08:00,3664999,13,,
1019713960866802,14:09:00,14:09:00,3665001,14,,
1019713960866802,14:10:00,14:10:00,3665003,15,,
1019713960866802,14:11:00,14:11:00,3665004,16,,
1019713960866802,14:12:00,14:12:00,3665005,17,,
1019713960866802,14:13:00,14:13:00,3665006,18,,
1019713960866802,14:16:00,14:16:00,3665008,19,,
1019713960866802,14:18:00,14:18:00,3665010,20,,
1019713960866802,14:20:00,14:20:00,3665012,21,,
1020023900866802,13:45:00,13:45:00,3664981,1,,
1020023900866802,13:47:00,13:47:00,3664983,2,,
1020023900866802,13:48:00,13:48:00,3664985,3,,
1020023900866802,13:50:00,13:50:00,3664986,4,,
1020023900866802,13:54:00,13:54:00,3664988,5,,
1020023900866802,13:56:00,13:56:00,3664989,6,,
1020023900866802,13:58:00,13:58:00,3664991,7,,
1020023900866802,14:00:00,14:00:00,3664993,8,,
1020023900866802,14:01:00,14:01:00,3664995,9,,
1020023900866802,14:03:00,14:03:00,3664996,10,,
1020023900866802,14:05:00,14:05:00,3664997,11,,
1020023900866802,14:06:00,14:06:00,3664998,12,,
1020023900866802,14:08:00,14:08:00,3664999,13,,
1020023900866802,14:09:00,14:09:00,3665001,14,,
1020023900866802,14:10:00,14:10:00,3665003,15,,
1020023900866802,14:11:00,14:11:00,3665004,16,,
1020023900866802,14:12:00,14:12:00,3665005,17,,
1020023900866802,14:13:00,14:13:00,3665006,18,,
1020023900866802,14:16:00,14:16:00,3665008,19,,
1020023900866802,14:18:00,14:18:00,3665010,20,,
1020023900866802,14:20:00,14:20:00,3665012,21,,
1020023930866802,13:45:00,13:45:00,3664981,1,,
1020023930866802,13:47:00,13:47:00,3664983,2,,
1020023930866802,13:48:00,13:48:00,3664985,3,,
1020023930866802,13:50:00,13:50:00,3664986,4,,
1020023930866802,13:54:00,13:54:00,3664988,5,,
1020023930866802,13:56:00,13:56:00,3664989,6,,
1020023930866802,13:58:00,13:58:00,3664991,7,,
1020023930866802,14:00:00,14:00:00,3664993,8,,
1020023930866802,14:01:00,14:01:00,3664995,9,,
1020023930866802,14:03:00,14:03:00,3664996,10,,
1020023930866802,14:05:00,14:05:00,3664997,11,,
1020023930866802,14:06:00,14:06:00,3664998,12,,
1020023930866802,14:08:00,14:08:00,3664999,13,,
1020023930866802,14:09:00,14:09:00,3665001,14,,
1020023930866802,14:10:00,14:10:00,3665003,15,,
1020023930866802,14:11:00,14:11:00,3665004,16,,
1020023930866802,14:12:00,14:12:00,3665005,17,,
1020023930866802,14:13:00,14:13:00,3665006,18,,
1020023930866802,14:16:00,14:16:00,3665008,19,,
1020023930866802,14:18:00,14:18:00,3665010,20,,
1020023930866802,14:20:00,14:20:00,3665012,21,,
1119713940866802,14:32:00,14:32:00,3664981,1,,
1119713940866802,14:34:00,14:34:00,3664983,2,,
1119713940866802,14:35:00,14:35:00,3664985,3,,
1119713940866802,14:37:00,14:37:00,3664986,4,,
1119713940866802,14:41:00,14:41:00,3664988,5,,
1119713940866802,14:43:00,14:43:00,3664989,6,,
1119713940866802,14:45:00,14:45:00,3664991,7,,
1119713940866802,14:47:00,14:47:00,3664993,8,,
1119713940866802,14:48:00,14:48:00,3664995,9,,
1119713940866802,14:50:00,14:50:00,3664996,10,,
1119713940866802,14:52:00,14:52:00,3664997,11,,
1119713940866802,14:53:00,14:53:00,3664998,12,,
1119713940866802,14:55:00,14:55:00,3664999,13,,
1119713940866802,14:56:00,14:56:00,3665001,14,,
1119713940866802,14:57:00,14:57:00,3665003,15,,
1119713940866802,14:58:00,14:58:00,3665004,16,,
1119713940866802,14:59:00,14:59:00,3665005,17,,
1119713940866802,15:00:00,15:00:00,3665006,18,,
1119713940866802,15:03:00,15:03:00,3665008,19,,
1119713940866802,15:05:00,15:05:00,3665010,20,,
1119713940866802,15:07:00,15:07:00,3665012,21,,
1119713960866802,14:32:00,14:32:00,3664981,1,,
1119713960866802,14:34:00,14:34:00,3664983,2,,
1119713960866802,14:35:00,14:35:00,3664985,3,,
1119713960866802,14:37:00,14:37:00,3664986,4,,
1119713960866802,14:41:00,14:41:00,3664988,5,,
1119713960866802,14:43:00,14:43:00,3664989,6,,
1119713960866802,14:45:00,14:45:00,3664991,7,,
1119713960866802,14:47:00,14:47:00,3664993,8,,
1119713960866802,14:48:00,14:48:00,3664995,9,,
1119713960866802,14:50:00,14:50:00,3664996,10,,
1119713960866802,14:52:00,14:52:00,3664997,11,,
1119713960866802,14:53:00,14:53:00,3664998,12,,
1119713960866802,14:55:00,14:55:00,3664999,13,,
1119713960866802,14:56:00,14:56:00,3665001,14,,
1119713960866802,14:57:00,14:57:00,3665003,15,,
1119713960866802,14:58:00,14:58:00,3665004,16,,
1119713960866802,14:59:00,14:59:00,3665005,17,,
1119713960866802,15:00:00,15:00:00,3665006,18,,
1119713960866802,15:03:00,15:03:00,3665008,19,,
1119713960866802,15:05:00,15:05:00,3665010,20,,
1119713960866802,15:07:00,15:07:00,3665012,21,,
1120023900866802,14:32:00,14:32:00,3664981,1,,
1120023900866802,14:34:00,14:34:00,3664983,2,,
1120023900866802,14:35:00,14:35:00,3664985,3,,
1120023900866802,14:37:00,14:37:00,3664986,4,,
1120023900866802,14:41:00,14:41:00,3664988,5,,
1120023900866802,14:43:00,14:43:00,3664989,6,,
1120023900866802,14:45:00,14:45:00,3664991,7,,
1120023900866802,14:47:00,14:47:00,3664993,8,,
1120023900866802,14:48:00,14:48:00,3664995,9,,
1120023900866802,14:50:00,14:50:00,3664996,10,,
1120023900866802,14:52:00,14:52:00,3664997,11,,
