from_stop_id,to_stop_id,transfer_type,min_transfer_time
3877802,4024387,2,19
4024349,4025166,2,135
4024348,4024847,2,10
3877802,4024386,2,19
4024348,4024848,2,57
4024759,4024344,2,90
4023196,4024354,2,58
4024351,4025178,2,107
4024089,4024379,2,72
4024377,4024936,2,134
4024379,4473167,2,25
4009366,4024345,2,54
4024379,4473166,2,45
4024374,4024321,2,104
4024374,4024320,2,109
4024350,4025177,2,29
4024377,4024933,2,117
4024350,4025178,2,133
4024377,4024934,2,117
4024365,3887666,2,45
4024761,4024346,2,79
4024380,4024337,2,94
4024379,4023609,2,72
4024737,4024344,2,128
4024349,4025178,2,135
4024737,4024345,2,10
4024351,4025166,2,107
4025286,4024370,2,42
4024351,4025161,2,90
4024351,4025162,2,29
4024344,4024791,2,45
4024365,3887680,2,89
4024344,4024792,2,139
4023198,4024356,2,22
4024351,4025362,2,143
4024380,4024324,2,134
4016737,4024344,2,139
4024364,3887679,2,86
4025285,4024367,2,13
4472494,5150174,2,127
4024353,4025177,2,143
5150174,5150176,2,67
4473055,5150174,2,127
4024364,4025354,2,68
4022919,4024345,2,22
4022919,4024344,2,117
4023201,5150174,2,127
4024196,4024344,2,82
4024375,4024320,2,134
4024375,4024323,2,20
4024196,4024345,2,55
4024375,4024325,2,119
5150174,4130516,2,117
4024364,4025353,2,68
4023202,5150174,2,117
4473053,4024360,2,138
4023963,4024344,2,139
5150174,5150181,2,67
4024348,4025128,2,102
4024089,4024380,2,73
4024353,4208613,2,15
4024360,3887668,2,138
4023148,4024359,2,18
4024353,4025163,2,143
4024368,4024967,2,13
4023193,4024353,2,15
4472484,4024366,2,71
4025282,4024366,2,110
4024109,4024345,2,144
4024109,4024344,2,59
4024674,4024348,2,10
4024738,4024347,2,79
4016841,4024344,2,67
4024674,4024349,2,63
4016841,4024345,2,186
4472493,4024360,2,116
4024345,5150164,2,44
4472484,4024365,2,45
4024349,4025160,2,136
4024377,4024979,2,128
4024758,4024344,2,102
4024758,4024345,2,36
4025301,4024380,2,8
4024344,1887,2,297
4024348,4025133,2,90
4024351,4025133,2,107
4024349,4025127,2,136
4473053,5150174,2,84
4037746,4024344,2,74
4023252,4024359,2,18
4473053,5150179,2,22
4022920,4024345,2,140
4022920,4024344,2,108
4023195,4024355,2,58
4024352,4208614,2,15
4024384,4024943,2,76
4024384,4024944,2,63
4024088,4024380,2,121
4024377,4024978,2,134
4024461,4024360,2,138
4024762,4024349,2,63
5150174,3887669,2,127
4024364,4130518,2,86
4024762,4024348,2,10
4024377,4024325,2,50
5150174,3887668,2,84
4024373,4024321,2,134
4024373,4024322,2,134
4024373,4024323,2,115
5150177,4024360,2,116
4024351,4025128,2,90
4472492,5150174,2,84
4024349,4025133,2,135
4025301,4024377,2,126
4025301,4024379,2,129
4024363,3887667,2,86
4024374,4208632,2,29
