from_stop_id,to_stop_id,transfer_type,min_transfer_time
5231661,3682820,2,76
3683023,3682854,2,75
3683018,3682850,2,14
4614569,3682821,2,48
3682885,3682814,2,41
3683018,3682851,2,86
3682882,3682809,2,98
3682882,3682808,2,82
5231562,3682815,2,49
4109757,3682812,2,138
3683019,3682840,2,95
3682881,3682832,2,92
3682881,3682833,2,131
3682940,3682810,2,43
3682945,3682837,2,136
3685966,3682858,2,10
3682881,3682834,2,43
3685966,3682857,2,45
4109757,3682810,2,65
4614664,3682829,2,55
4692764,3682808,2,108
4614664,3682827,2,32
4692764,3682809,2,124
3685966,3682856,2,14
4614785,3682825,2,54
5231657,3682812,2,23
3682891,3682820,2,108
3682834,1837,2,236
3682884,3682811,2,23
3682834,2304,2,236
4109757,3682808,2,124
4109757,3682809,2,124
3683018,3682840,2,63
3685960,3682819,2,114
3683028,3682860,2,144
3683018,3682841,2,63
4614666,3682830,2,14
3683024,3682828,2,32
3682891,3682819,2,54
3683024,3682829,2,25
4614566,3682820,2,114
4614659,3682824,2,115
3682832,2304,2,220
3683029,3682831,2,135
4614784,3682858,2,55
4614784,3682856,2,32
3682943,3682835,2,23
3682998,3682808,2,119
3682882,3682810,2,94
3682998,3682809,2,131
3685958,3682817,2,35
3683024,3682858,2,25
3682881,3682810,2,43
3683025,3682829,2,55
3683024,3682857,2,32
3683025,3682827,2,32
4109757,3682836,2,138
3682998,3682810,2,43
4109757,3682833,2,124
4109757,3682834,2,65
4109757,3682832,2,112
3682945,3682813,2,41
5231657,3682836,2,23
3683029,3682860,2,135
3683010,3682810,2,132
3682832,1837,2,220
4614661,3682826,2,54
3682883,3682812,2,23
3716668,3682827,2,14
3682948,3682818,2,35
3682884,3682835,2,23
3716668,3682829,2,10
3716668,3682828,2,45
3683027,3682859,2,14
3682948,3682815,2,143
3683019,3682851,2,119
3682940,3682809,2,131
3683019,3682850,2,77
4614572,3682855,2,75
4614657,3682822,2,48
3682940,3682808,2,119
3683010,3682808,2,15
3683010,3682809,2,32
3685967,3682858,2,102
4614783,3682830,2,14
4614785,3682855,2,61
4614664,3682856,2,32
3683011,3682808,2,17
4614664,3682858,2,55
4614785,3682854,2,54
3685967,3682856,2,92
3685967,3682857,2,108
3715233,3682840,2,63
4614662,3682825,2,54
3685967,3682829,2,102
3715233,3682841,2,63
4798810,3682832,2,116
4614567,3682819,2,109
4798810,3682833,2,130
4798810,3682834,2,57
4798810,3682836,2,134
3683010,3682832,2,12
3685959,3682820,2,122
4798810,3682835,2,139
3683010,3682834,2,132
3683010,3682833,2,32
3685967,3682828,2,108
4109756,3682809,2,66
3685967,3682827,2,92
4109756,3682808,2,49
3682887,3682816,2,49
3682887,3682817,2,143
4614571,3682823,2,115
3685961,3682819,2,71
3683013,3682836,2,23
3685966,3682829,2,10
3685966,3682828,2,45
3716670,3682831,2,98
3715233,3682851,2,86
3715233,3682850,2,14
3682809,2304,2,236
3682883,3682836,2,23
3682881,3682809,2,131
4614573,3682825,2,54
3683023,3682826,2,61
3683023,3682825,2,75
3685966,3682827,2,14
3682881,3682808,2,119
4614787,3682821,2,48
4109756,3682810,2,132
3716668,3682857,2,45
