service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2006887,0,0,0,0,0,0,0,20160104,20160129
1931234,0,0,0,0,0,0,0,20151011,20151227
2006888,0,0,0,0,0,0,0,20160102,20160130
1931235,0,0,0,0,0,0,0,20151007,20151218
11931239,0,0,0,0,0,0,0,20151012,20151228
1931238,0,0,0,0,0,0,0,20151010,20151226
11931238,0,0,0,0,0,0,0,20151011,20151227
11931237,0,0,0,0,0,0,0,20151020,20160101
1931239,0,0,0,0,0,0,0,20151011,20151227
11931235,0,0,0,0,0,0,0,20151008,20151219
1931237,0,0,0,0,0,0,0,20151019,20151231
11931234,0,0,0,0,0,0,0,20151012,20151228
1931240,0,0,0,0,0,0,0,20151007,20151218
1931242,0,0,0,0,0,0,0,20151019,20151231
1931243,0,0,0,0,0,0,0,20151010,20151226
11931242,0,0,0,0,0,0,0,20151020,20160101
2006886,0,0,0,0,0,0,0,20160101,20160131
11931243,0,0,0,0,0,0,0,20151011,20151227
2006885,0,0,0,0,0,0,0,20160102,20160130
2006884,0,0,0,0,0,0,0,20160104,20160129
2006883,0,0,0,0,0,0,0,20160101,20160131
11931240,0,0,0,0,0,0,0,20151008,20151219
12006885,0,0,0,0,0,0,0,20160103,20160131
12006884,0,0,0,0,0,0,0,20160105,20160130
12006883,0,0,0,0,0,0,0,20160102,20160201
12006888,0,0,0,0,0,0,0,20160103,20160131
12006887,0,0,0,0,0,0,0,20160105,20160130
12006886,0,0,0,0,0,0,0,20160102,20160201
