service_id,date,exception_type
2008536,20160110,1
2008535,20160101,1
2008535,20160103,1
2008535,20160117,1
2008535,20160124,1
2008535,20160131,1
1931191,20151010,1
1931191,20151017,1
1931191,20151024,1
1931191,20151031,1
1931191,20151107,1
1931191,20151114,1
1931191,20151121,1
1931191,20151128,1
1931191,20151205,1
1931191,20151212,1
1931191,20151219,1
1931191,20151226,1
1931192,20151019,1
1931192,20151020,1
1931192,20151021,1
1931192,20151023,1
1931192,20151026,1
1931192,20151027,1
1931192,20151028,1
1931192,20151030,1
1931192,20151221,1
1931192,20151222,1
1931192,20151223,1
1931192,20151228,1
1931192,20151229,1
1931192,20151230,1
1931193,20151019,1
1931193,20151020,1
1931193,20151021,1
1931193,20151023,1
1931193,20151026,1
1931193,20151027,1
1931193,20151028,1
1931193,20151030,1
1931193,20151221,1
1931193,20151222,1
1931193,20151223,1
1931193,20151228,1
1931193,20151229,1
1931193,20151230,1
1931194,20151011,1
1931194,20151018,1
1931194,20151025,1
1931194,20151101,1
1931194,20151108,1
1931194,20151115,1
1931194,20151122,1
1931194,20151129,1
1931194,20151225,1
1931194,20151227,1
1931195,20151111,1
1931195,20151206,1
1931195,20151213,1
1931195,20151220,1
1931196,20151008,1
1931196,20151015,1
1931196,20151105,1
1931196,20151112,1
1931196,20151119,1
1931196,20151126,1
1931196,20151203,1
1931196,20151210,1
1931196,20151217,1
1931197,20151022,1
1931197,20151029,1
1931197,20151224,1
1931197,20151231,1
1931190,20151007,1
1931190,20151009,1
1931190,20151012,1
1931190,20151013,1
1931190,20151014,1
1931190,20151016,1
1931190,20151102,1
1931190,20151103,1
1931190,20151104,1
1931190,20151106,1
1931190,20151109,1
1931190,20151110,1
1931190,20151113,1
1931190,20151116,1
1931190,20151117,1
1931190,20151118,1
1931190,20151120,1
1931190,20151123,1
1931190,20151124,1
1931190,20151125,1
1931190,20151127,1
1931190,20151130,1
1931190,20151201,1
1931190,20151202,1
1931190,20151204,1
1931190,20151207,1
1931190,20151208,1
1931190,20151209,1
1931190,20151211,1
1931190,20151214,1
1931190,20151215,1
1931190,20151216,1
1931190,20151218,1
1931187,20151111,1
1931187,20151206,1
1931187,20151213,1
1931187,20151220,1
2008543,20160104,1
2008543,20160105,1
2008543,20160106,1
2008543,20160108,1
2008543,20160111,1
2008543,20160112,1
2008543,20160113,1
2008543,20160115,1
2008543,20160118,1
2008543,20160119,1
2008543,20160120,1
2008543,20160122,1
2008543,20160125,1
2008543,20160126,1
2008543,20160127,1
2008543,20160129,1
2008542,20160107,1
2008542,20160114,1
2008542,20160121,1
2008542,20160128,1
1931186,20151011,1
1931186,20151018,1
1931186,20151025,1
1931186,20151101,1
1931186,20151108,1
1931186,20151115,1
1931186,20151122,1
1931186,20151129,1
1931186,20151225,1
1931186,20151227,1
1931185,20151010,1
1931185,20151017,1
1931185,20151024,1
1931185,20151031,1
1931185,20151107,1
1931185,20151114,1
1931185,20151121,1
1931185,20151128,1
1931185,20151205,1
1931185,20151212,1
1931185,20151219,1
1931185,20151226,1
2008541,20160110,1
2008540,20160101,1
2008540,20160103,1
2008540,20160117,1
2008540,20160124,1
2008540,20160131,1
1931184,20151007,1
1931184,20151009,1
1931184,20151012,1
1931184,20151013,1
1931184,20151014,1
1931184,20151016,1
1931184,20151102,1
1931184,20151103,1
1931184,20151104,1
1931184,20151106,1
1931184,20151109,1
1931184,20151110,1
1931184,20151113,1
1931184,20151116,1
1931184,20151117,1
1931184,20151118,1
1931184,20151120,1
1931184,20151123,1
1931184,20151124,1
1931184,20151125,1
1931184,20151127,1
1931184,20151130,1
1931184,20151201,1
1931184,20151202,1
1931184,20151204,1
1931184,20151207,1
1931184,20151208,1
1931184,20151209,1
1931184,20151211,1
1931184,20151214,1
1931184,20151215,1
1931184,20151216,1
1931184,20151218,1
2008547,20160107,1
2008547,20160114,1
2008547,20160121,1
2008547,20160128,1
1931183,20151022,1
1931183,20151029,1
1931183,20151224,1
1931183,20151231,1
2008546,20160110,1
1931182,20151008,1
1931182,20151015,1
1931182,20151105,1
1931182,20151112,1
1931182,20151119,1
1931182,20151126,1
1931182,20151203,1
1931182,20151210,1
1931182,20151217,1
2008545,20160101,1
2008545,20160103,1
2008545,20160117,1
2008545,20160124,1
2008545,20160131,1
1931181,20151111,1
1931181,20151206,1
1931181,20151213,1
1931181,20151220,1
2008544,20160102,1
2008544,20160109,1
2008544,20160116,1
2008544,20160123,1
2008544,20160130,1
1931180,20151011,1
1931180,20151018,1
1931180,20151025,1
1931180,20151101,1
1931180,20151108,1
1931180,20151115,1
1931180,20151122,1
1931180,20151129,1
1931180,20151225,1
1931180,20151227,1
1931189,20151022,1
1931189,20151029,1
1931189,20151224,1
1931189,20151231,1
1931188,20151008,1
1931188,20151015,1
1931188,20151105,1
1931188,20151112,1
1931188,20151119,1
1931188,20151126,1
1931188,20151203,1
1931188,20151210,1
1931188,20151217,1
2008539,20160102,1
2008539,20160109,1
2008539,20160116,1
2008539,20160123,1
2008539,20160130,1
2008537,20160107,1
2008537,20160114,1
2008537,20160121,1
2008537,20160128,1
2008538,20160104,1
2008538,20160105,1
2008538,20160106,1
2008538,20160108,1
2008538,20160111,1
2008538,20160112,1
2008538,20160113,1
2008538,20160115,1
2008538,20160118,1
2008538,20160119,1
2008538,20160120,1
2008538,20160122,1
2008538,20160125,1
2008538,20160126,1
2008538,20160127,1
2008538,20160129,1
