service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1985584,0,0,0,0,0,0,0,20151009,20151218
1985583,0,0,0,0,0,0,0,20151010,20151219
11985581,0,0,0,0,0,0,0,20151012,20151214
11985583,0,0,0,0,0,0,0,20151011,20151220
11985582,0,0,0,0,0,0,0,20151008,20151218
11976180,0,0,0,0,0,0,0,20151024,20151031
1976178,0,0,0,0,0,0,0,20151024,20151226
11985584,0,0,0,0,0,0,0,20151010,20151219
1976176,0,0,0,0,0,0,0,20151019,20151231
1976174,0,0,0,0,0,0,0,20151018,20151227
1985582,0,0,0,0,0,0,0,20151007,20151217
1985581,0,0,0,0,0,0,0,20151011,20151213
1976180,0,0,0,0,0,0,0,20151023,20151030
11976176,0,0,0,0,0,0,0,20151020,20160101
11976174,0,0,0,0,0,0,0,20151019,20151228
11976178,0,0,0,0,0,0,0,20151025,20151227
