trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
119490230914553,07:36:00,07:36:00,3909825,1,,
119490230914553,07:43:00,07:43:00,3909826,2,,
119490230914553,07:45:00,07:45:00,3909827,3,,
119490230914553,07:52:00,07:52:00,3909828,4,,
119830990914553,07:36:00,07:36:00,3909825,1,,
119830990914553,07:43:00,07:43:00,3909826,2,,
119830990914553,07:45:00,07:45:00,3909827,3,,
119830990914553,07:52:00,07:52:00,3909828,4,,
119831000914553,07:36:00,07:36:00,3909825,1,,
119831000914553,07:43:00,07:43:00,3909826,2,,
119831000914553,07:45:00,07:45:00,3909827,3,,
119831000914553,07:52:00,07:52:00,3909828,4,,
219490230914553,07:49:00,07:49:00,3909825,1,,
219490230914553,07:56:00,07:56:00,3909826,2,,
219490230914553,07:58:00,07:58:00,3909827,3,,
219490230914553,08:05:00,08:05:00,3909828,4,,
219830990914553,07:49:00,07:49:00,3909825,1,,
219830990914553,07:56:00,07:56:00,3909826,2,,
219830990914553,07:58:00,07:58:00,3909827,3,,
219830990914553,08:05:00,08:05:00,3909828,4,,
219831000914553,07:49:00,07:49:00,3909825,1,,
219831000914553,07:56:00,07:56:00,3909826,2,,
219831000914553,07:58:00,07:58:00,3909827,3,,
219831000914553,08:05:00,08:05:00,3909828,4,,
319490230914553,08:05:00,08:05:00,3909825,1,,
319490230914553,08:12:00,08:12:00,3909826,2,,
319490230914553,08:14:00,08:14:00,3909827,3,,
319490230914553,08:21:00,08:21:00,3909828,4,,
319830990914553,08:05:00,08:05:00,3909825,1,,
319830990914553,08:12:00,08:12:00,3909826,2,,
319830990914553,08:14:00,08:14:00,3909827,3,,
319830990914553,08:21:00,08:21:00,3909828,4,,
319831000914553,08:05:00,08:05:00,3909825,1,,
319831000914553,08:12:00,08:12:00,3909826,2,,
319831000914553,08:14:00,08:14:00,3909827,3,,
319831000914553,08:21:00,08:21:00,3909828,4,,
419490230914553,08:18:00,08:18:00,3909825,1,,
419490230914553,08:25:00,08:25:00,3909826,2,,
419490230914553,08:27:00,08:27:00,3909827,3,,
419490230914553,08:34:00,08:34:00,3909828,4,,
419830990914553,08:18:00,08:18:00,3909825,1,,
419830990914553,08:25:00,08:25:00,3909826,2,,
419830990914553,08:27:00,08:27:00,3909827,3,,
419830990914553,08:34:00,08:34:00,3909828,4,,
419831000914553,08:18:00,08:18:00,3909825,1,,
419831000914553,08:25:00,08:25:00,3909826,2,,
419831000914553,08:27:00,08:27:00,3909827,3,,
419831000914553,08:34:00,08:34:00,3909828,4,,
