service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1962163,0,0,0,0,0,0,0,20151019,20151029
1962162,0,0,0,0,0,0,0,20151018,20151025
11983121,0,0,0,0,0,0,0,20151008,20151201
11983120,0,0,0,0,0,0,0,20151012,20151130
11962163,0,0,0,0,0,0,0,20151020,20151030
11962164,0,0,0,0,0,0,0,20151025,20151101
1962165,0,0,0,0,0,0,0,20151023,20151030
11962165,0,0,0,0,0,0,0,20151024,20151031
1962164,0,0,0,0,0,0,0,20151024,20151031
11962162,0,0,0,0,0,0,0,20151019,20151026
1983123,0,0,0,0,0,0,0,20151009,20151127
1983120,0,0,0,0,0,0,0,20151011,20151129
1983122,0,0,0,0,0,0,0,20151010,20151128
1983121,0,0,0,0,0,0,0,20151007,20151130
11983122,0,0,0,0,0,0,0,20151011,20151129
11983123,0,0,0,0,0,0,0,20151010,20151128
