service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11939159,0,0,0,0,0,0,0,20151013,20151013
11939158,0,0,0,0,0,0,0,20151012,20151102
1970255,0,0,0,0,0,0,0,20151019,20151029
1939160,0,0,0,0,0,0,0,20151007,20151015
1970256,0,0,0,0,0,0,0,20151024,20151031
1939162,0,0,0,0,0,0,0,20151010,20151017
1939164,0,0,0,0,0,0,0,20151009,20151016
1939166,0,0,0,0,0,0,0,20151011,20151101
11939160,0,0,0,0,0,0,0,20151008,20151016
1939167,0,0,0,0,0,0,0,20151012,20151012
11970260,0,0,0,0,0,0,0,20151025,20151101
1939168,0,0,0,0,0,0,0,20151007,20151015
11991239,0,0,0,0,0,0,0,20151109,20160104
11939166,0,0,0,0,0,0,0,20151012,20151102
2002367,0,0,0,0,0,0,0,20151226,20160102
2002366,0,0,0,0,0,0,0,20151221,20151231
11939168,0,0,0,0,0,0,0,20151008,20151016
2002369,0,0,0,0,0,0,0,20151226,20160102
11939167,0,0,0,0,0,0,0,20151013,20151013
2002368,0,0,0,0,0,0,0,20151221,20151231
11939162,0,0,0,0,0,0,0,20151011,20151018
11939164,0,0,0,0,0,0,0,20151010,20151017
1939158,0,0,0,0,0,0,0,20151011,20151101
11939170,0,0,0,0,0,0,0,20151011,20151018
11991248,0,0,0,0,0,0,0,20151107,20151219
1991246,0,0,0,0,0,0,0,20151103,20151217
1991245,0,0,0,0,0,0,0,20151102,20151214
1939159,0,0,0,0,0,0,0,20151012,20151012
1991248,0,0,0,0,0,0,0,20151106,20151218
1991247,0,0,0,0,0,0,0,20151107,20151219
11991243,0,0,0,0,0,0,0,20151107,20151219
11991242,0,0,0,0,0,0,0,20151108,20151220
11991241,0,0,0,0,0,0,0,20151104,20151218
11991240,0,0,0,0,0,0,0,20151103,20151215
11991247,0,0,0,0,0,0,0,20151108,20151220
11991246,0,0,0,0,0,0,0,20151104,20151218
11991245,0,0,0,0,0,0,0,20151103,20151215
11991244,0,0,0,0,0,0,0,20151109,20160104
12002369,0,0,0,0,0,0,0,20151227,20160103
12002366,0,0,0,0,0,0,0,20151222,20160101
1991240,0,0,0,0,0,0,0,20151102,20151214
12002367,0,0,0,0,0,0,0,20151227,20160103
12002368,0,0,0,0,0,0,0,20151222,20160101
1991243,0,0,0,0,0,0,0,20151106,20151218
1991244,0,0,0,0,0,0,0,20151108,20160103
1991241,0,0,0,0,0,0,0,20151103,20151217
1991242,0,0,0,0,0,0,0,20151107,20151219
11939172,0,0,0,0,0,0,0,20151010,20151017
1991239,0,0,0,0,0,0,0,20151108,20160103
1970260,0,0,0,0,0,0,0,20151024,20151031
11970255,0,0,0,0,0,0,0,20151020,20151030
11970259,0,0,0,0,0,0,0,20151024,20151031
1939172,0,0,0,0,0,0,0,20151009,20151016
11970258,0,0,0,0,0,0,0,20151020,20151030
11970257,0,0,0,0,0,0,0,20151024,20151031
1939170,0,0,0,0,0,0,0,20151010,20151017
11970256,0,0,0,0,0,0,0,20151025,20151101
1970259,0,0,0,0,0,0,0,20151023,20151030
1970257,0,0,0,0,0,0,0,20151023,20151030
1970258,0,0,0,0,0,0,0,20151019,20151029
