trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
119253581312061,07:47:00,07:47:00,3757174,1,,
119253581312061,07:48:00,07:48:00,3757176,2,,
119253581312061,07:50:00,07:50:00,3757178,3,,
119253581312061,07:52:00,07:52:00,3757179,4,,
119253581312061,07:53:00,07:53:00,3757181,5,,
119253581312061,07:54:00,07:54:00,3757183,6,,
119253581312061,07:54:00,07:54:00,3757185,7,,
119253581312061,07:55:00,07:55:00,3757187,8,,
119253581312061,07:56:00,07:56:00,3757189,9,,
119253581312061,07:57:00,07:57:00,3757191,10,,
119253581312061,08:00:00,08:00:00,3757193,11,,
119253581312061,08:02:00,08:02:00,3757195,12,,
119253581312061,08:04:00,08:04:00,3757197,13,,
119253581312061,08:07:00,08:07:00,3757199,14,,
119253601312061,07:47:00,07:47:00,3757174,1,,
119253601312061,07:48:00,07:48:00,3757176,2,,
119253601312061,07:50:00,07:50:00,3757178,3,,
119253601312061,07:52:00,07:52:00,3757179,4,,
119253601312061,07:53:00,07:53:00,3757181,5,,
119253601312061,07:54:00,07:54:00,3757183,6,,
119253601312061,07:54:00,07:54:00,3757185,7,,
119253601312061,07:55:00,07:55:00,3757187,8,,
119253601312061,07:56:00,07:56:00,3757189,9,,
119253601312061,07:57:00,07:57:00,3757191,10,,
119253601312061,08:00:00,08:00:00,3757193,11,,
119253601312061,08:02:00,08:02:00,3757195,12,,
119253601312061,08:04:00,08:04:00,3757197,13,,
119253601312061,08:07:00,08:07:00,3757199,14,,
219253581312061,08:01:00,08:01:00,3757174,1,,
219253581312061,08:02:00,08:02:00,3757176,2,,
219253581312061,08:04:00,08:04:00,3757178,3,,
219253581312061,08:06:00,08:06:00,3757179,4,,
219253581312061,08:07:00,08:07:00,3757181,5,,
219253581312061,08:08:00,08:08:00,3757183,6,,
219253581312061,08:08:00,08:08:00,3757185,7,,
219253581312061,08:09:00,08:09:00,3757187,8,,
219253581312061,08:10:00,08:10:00,3757189,9,,
219253581312061,08:11:00,08:11:00,3757191,10,,
219253581312061,08:14:00,08:14:00,3757193,11,,
219253581312061,08:16:00,08:16:00,3757195,12,,
219253581312061,08:17:00,08:17:00,3757197,13,,
219253581312061,08:20:00,08:20:00,3757199,14,,
219253601312061,08:01:00,08:01:00,3757174,1,,
219253601312061,08:02:00,08:02:00,3757176,2,,
219253601312061,08:04:00,08:04:00,3757178,3,,
219253601312061,08:06:00,08:06:00,3757179,4,,
219253601312061,08:07:00,08:07:00,3757181,5,,
219253601312061,08:08:00,08:08:00,3757183,6,,
219253601312061,08:08:00,08:08:00,3757185,7,,
219253601312061,08:09:00,08:09:00,3757187,8,,
219253601312061,08:10:00,08:10:00,3757189,9,,
219253601312061,08:11:00,08:11:00,3757191,10,,
219253601312061,08:14:00,08:14:00,3757193,11,,
219253601312061,08:16:00,08:16:00,3757195,12,,
219253601312061,08:17:00,08:17:00,3757197,13,,
219253601312061,08:20:00,08:20:00,3757199,14,,
319253581312061,08:08:00,08:08:00,3757174,1,,
319253581312061,08:09:00,08:09:00,3757176,2,,
319253581312061,08:11:00,08:11:00,3757178,3,,
319253581312061,08:13:00,08:13:00,3757179,4,,
319253581312061,08:14:00,08:14:00,3757181,5,,
319253581312061,08:15:00,08:15:00,3757183,6,,
319253581312061,08:15:00,08:15:00,3757185,7,,
319253581312061,08:16:00,08:16:00,3757187,8,,
319253581312061,08:17:00,08:17:00,3757189,9,,
319253581312061,08:18:00,08:18:00,3757191,10,,
319253581312061,08:21:00,08:21:00,3757193,11,,
319253581312061,08:23:00,08:23:00,3757195,12,,
319253581312061,08:24:00,08:24:00,3757197,13,,
319253581312061,08:27:00,08:27:00,3757199,14,,
319253601312061,08:08:00,08:08:00,3757174,1,,
319253601312061,08:09:00,08:09:00,3757176,2,,
319253601312061,08:11:00,08:11:00,3757178,3,,
319253601312061,08:13:00,08:13:00,3757179,4,,
319253601312061,08:14:00,08:14:00,3757181,5,,
319253601312061,08:15:00,08:15:00,3757183,6,,
319253601312061,08:15:00,08:15:00,3757185,7,,
319253601312061,08:16:00,08:16:00,3757187,8,,
319253601312061,08:17:00,08:17:00,3757189,9,,
319253601312061,08:18:00,08:18:00,3757191,10,,
319253601312061,08:21:00,08:21:00,3757193,11,,
319253601312061,08:23:00,08:23:00,3757195,12,,
319253601312061,08:24:00,08:24:00,3757197,13,,
319253601312061,08:27:00,08:27:00,3757199,14,,
419253581312061,08:58:00,08:58:00,3757174,1,,
419253581312061,08:59:00,08:59:00,3757176,2,,
419253581312061,09:01:00,09:01:00,3757178,3,,
419253581312061,09:03:00,09:03:00,3757179,4,,
419253581312061,09:04:00,09:04:00,3757181,5,,
419253581312061,09:05:00,09:05:00,3757183,6,,
419253581312061,09:05:00,09:05:00,3757185,7,,
419253581312061,09:06:00,09:06:00,3757187,8,,
419253581312061,09:07:00,09:07:00,3757189,9,,
419253581312061,09:08:00,09:08:00,3757191,10,,
419253581312061,09:11:00,09:11:00,3757193,11,,
419253581312061,09:13:00,09:13:00,3757195,12,,
419253581312061,09:14:00,09:14:00,3757197,13,,
419253581312061,09:17:00,09:17:00,3757199,14,,
419253601312061,08:58:00,08:58:00,3757174,1,,
419253601312061,08:59:00,08:59:00,3757176,2,,
419253601312061,09:01:00,09:01:00,3757178,3,,
419253601312061,09:03:00,09:03:00,3757179,4,,
419253601312061,09:04:00,09:04:00,3757181,5,,
419253601312061,09:05:00,09:05:00,3757183,6,,
419253601312061,09:05:00,09:05:00,3757185,7,,
419253601312061,09:06:00,09:06:00,3757187,8,,
419253601312061,09:07:00,09:07:00,3757189,9,,
419253601312061,09:08:00,09:08:00,3757191,10,,
419253601312061,09:11:00,09:11:00,3757193,11,,
419253601312061,09:13:00,09:13:00,3757195,12,,
419253601312061,09:14:00,09:14:00,3757197,13,,
419253601312061,09:17:00,09:17:00,3757199,14,,
519253581312061,15:35:00,15:35:00,3757174,1,,
519253581312061,15:36:00,15:36:00,3757176,2,,
519253581312061,15:38:00,15:38:00,3757178,3,,
519253581312061,15:40:00,15:40:00,3757179,4,,
519253581312061,15:41:00,15:41:00,3757181,5,,
519253581312061,15:42:00,15:42:00,3757183,6,,
519253581312061,15:42:00,15:42:00,3757185,7,,
519253581312061,15:43:00,15:43:00,3757187,8,,
519253581312061,15:44:00,15:44:00,3757189,9,,
519253581312061,15:45:00,15:45:00,3757191,10,,
519253581312061,15:48:00,15:48:00,3757193,11,,
519253581312061,15:49:00,15:49:00,3757195,12,,
519253581312061,15:51:00,15:51:00,3757197,13,,
519253581312061,15:56:00,15:56:00,3757199,14,,
519253601312061,13:14:00,13:14:00,3757174,1,,
519253601312061,13:15:00,13:15:00,3757176,2,,
519253601312061,13:17:00,13:17:00,3757178,3,,
519253601312061,13:19:00,13:19:00,3757179,4,,
519253601312061,13:20:00,13:20:00,3757181,5,,
519253601312061,13:21:00,13:21:00,3757183,6,,
519253601312061,13:21:00,13:21:00,3757185,7,,
519253601312061,13:22:00,13:22:00,3757187,8,,
519253601312061,13:23:00,13:23:00,3757189,9,,
519253601312061,13:24:00,13:24:00,3757191,10,,
519253601312061,13:27:00,13:27:00,3757193,11,,
519253601312061,13:28:00,13:28:00,3757195,12,,
519253601312061,13:30:00,13:30:00,3757197,13,,
519253601312061,13:34:00,13:34:00,3757199,14,,
619253581312061,16:42:00,16:42:00,3757174,1,,
619253581312061,16:43:00,16:43:00,3757176,2,,
619253581312061,16:45:00,16:45:00,3757178,3,,
619253581312061,16:47:00,16:47:00,3757179,4,,
619253581312061,16:49:00,16:49:00,3757181,5,,
619253581312061,16:50:00,16:50:00,3757183,6,,
619253581312061,16:50:00,16:50:00,3757185,7,,
619253581312061,16:51:00,16:51:00,3757187,8,,
619253581312061,16:52:00,16:52:00,3757189,9,,
619253581312061,16:53:00,16:53:00,3757191,10,,
619253581312061,16:57:00,16:57:00,3757193,11,,
619253581312061,16:59:00,16:59:00,3757195,12,,
619253581312061,17:01:00,17:01:00,3757197,13,,
619253581312061,17:04:00,17:04:00,3757199,14,,
119253581312060,16:08:00,16:08:00,3757200,1,,
119253581312060,16:11:00,16:11:00,3757198,2,,
119253581312060,16:12:00,16:12:00,3757196,3,,
219253581312060,17:08:00,17:08:00,3757200,1,,
219253581312060,17:11:00,17:11:00,3757198,2,,
219253581312060,17:12:00,17:12:00,3757196,3,,
119253581312062,15:00:00,15:00:00,3757200,1,,
119253581312062,15:05:00,15:05:00,3757198,2,,
119253581312062,15:07:00,15:07:00,3757196,3,,
119253581312062,15:08:00,15:08:00,3757194,4,,
119253581312062,15:10:00,15:10:00,3757192,5,,
119253581312062,15:12:00,15:12:00,3757190,6,,
119253581312062,15:13:00,15:13:00,3757188,7,,
119253581312062,15:13:00,15:13:00,3757186,8,,
119253581312062,15:15:00,15:15:00,3757184,9,,
119253581312062,15:15:00,15:15:00,3757182,10,,
119253581312062,15:16:00,15:16:00,3757180,11,,
119253581312062,15:18:00,15:18:00,3757201,12,,
119253581312062,15:19:00,15:19:00,3757177,13,,
119253581312062,15:20:00,15:20:00,3757175,14,,
119253601312062,12:50:00,12:50:00,3757200,1,,
119253601312062,12:55:00,12:55:00,3757198,2,,
119253601312062,12:57:00,12:57:00,3757196,3,,
119253601312062,12:58:00,12:58:00,3757194,4,,
119253601312062,13:00:00,13:00:00,3757192,5,,
119253601312062,13:02:00,13:02:00,3757190,6,,
119253601312062,13:03:00,13:03:00,3757188,7,,
119253601312062,13:03:00,13:03:00,3757186,8,,
119253601312062,13:05:00,13:05:00,3757184,9,,
119253601312062,13:05:00,13:05:00,3757182,10,,
119253601312062,13:06:00,13:06:00,3757180,11,,
119253601312062,13:08:00,13:08:00,3757201,12,,
119253601312062,13:09:00,13:09:00,3757177,13,,
119253601312062,13:10:00,13:10:00,3757175,14,,
219253581312062,16:10:00,16:10:00,3757200,1,,
219253581312062,16:13:00,16:13:00,3757198,2,,
219253581312062,16:14:00,16:14:00,3757196,3,,
219253581312062,16:16:00,16:16:00,3757194,4,,
219253581312062,16:18:00,16:18:00,3757192,5,,
219253581312062,16:20:00,16:20:00,3757190,6,,
219253581312062,16:21:00,16:21:00,3757188,7,,
219253581312062,16:21:00,16:21:00,3757186,8,,
219253581312062,16:23:00,16:23:00,3757184,9,,
219253581312062,16:23:00,16:23:00,3757182,10,,
219253581312062,16:24:00,16:24:00,3757180,11,,
219253581312062,16:26:00,16:26:00,3757201,12,,
219253581312062,16:27:00,16:27:00,3757177,13,,
219253581312062,16:28:00,16:28:00,3757175,14,,
219253601312062,13:35:00,13:35:00,3757200,1,,
219253601312062,13:40:00,13:40:00,3757198,2,,
219253601312062,13:42:00,13:42:00,3757196,3,,
219253601312062,13:43:00,13:43:00,3757194,4,,
219253601312062,13:45:00,13:45:00,3757192,5,,
219253601312062,13:47:00,13:47:00,3757190,6,,
219253601312062,13:48:00,13:48:00,3757188,7,,
219253601312062,13:48:00,13:48:00,3757186,8,,
219253601312062,13:50:00,13:50:00,3757184,9,,
219253601312062,13:50:00,13:50:00,3757182,10,,
219253601312062,13:51:00,13:51:00,3757180,11,,
219253601312062,13:53:00,13:53:00,3757201,12,,
219253601312062,13:54:00,13:54:00,3757177,13,,
219253601312062,13:55:00,13:55:00,3757175,14,,
319253581312062,17:10:00,17:10:00,3757200,1,,
319253581312062,17:13:00,17:13:00,3757198,2,,
319253581312062,17:14:00,17:14:00,3757196,3,,
319253581312062,17:16:00,17:16:00,3757194,4,,
319253581312062,17:19:00,17:19:00,3757192,5,,
319253581312062,17:21:00,17:21:00,3757190,6,,
