route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1368880,1943663,1019436630936649,,10,0,
1368880,1943732,1019437320936649,,10,0,
1368880,1943734,1019437340936649,,10,0,
1368880,1943741,1019437410936649,,10,0,
1368880,1943744,1019437440936649,,10,0,
1368880,1943756,1019437560936649,,10,0,
1368880,1943757,1019437570936649,,10,0,
1368880,1943772,1019437720936649,,10,0,
1368880,1943663,1119436630936649,,11,0,
1368880,1943732,1119437320936649,,11,0,
1368880,1943734,1119437340936649,,11,0,
1368880,1943741,1119437410936649,,11,0,
1368880,1943744,1119437440936649,,11,0,
1368880,1943756,1119437560936649,,11,0,
1368880,1943757,1119437570936649,,11,0,
1368880,1943772,1119437720936649,,11,0,
1368880,1943663,119436630936649,,1,0,
1368880,1943732,119437320936649,,1,0,
1368880,1943734,119437340936649,,1,0,
1368880,1943741,119437410936649,,1,0,
1368880,1943744,119437440936649,,1,0,
1368880,1943756,119437560936649,,1,0,
1368880,1943757,119437570936649,,1,0,
1368880,1943772,119437720936649,,1,0,
1368880,1943663,1219436630936649,,12,0,
1368880,1943732,1219437320936649,,12,0,
1368880,1943734,1219437340936649,,12,0,
1368880,1943741,1219437410936649,,12,0,
1368880,1943744,1219437440936649,,12,0,
1368880,1943756,1219437560936649,,12,0,
1368880,1943757,1219437570936649,,12,0,
1368880,1943772,1219437720936649,,12,0,
1368880,1943663,1319436630936649,,13,0,
1368880,1943732,1319437320936649,,13,0,
1368880,1943734,1319437340936649,,13,0,
1368880,1943741,1319437410936649,,13,0,
1368880,1943744,1319437440936649,,13,0,
1368880,1943756,1319437560936649,,13,0,
1368880,1943757,1319437570936649,,13,0,
1368880,1943772,1319437720936649,,13,0,
1368880,1943663,1419436630936649,,14,0,
1368880,1943732,1419437320936649,,14,0,
1368880,1943734,1419437340936649,,14,0,
1368880,1943741,1419437410936649,,14,0,
1368880,1943744,1419437440936649,,14,0,
1368880,1943756,1419437560936649,,14,0,
1368880,1943757,1419437570936649,,14,0,
1368880,1943772,1419437720936649,,14,0,
1368880,1943663,1519436630936649,,15,0,
1368880,1943732,1519437320936649,,15,0,
1368880,1943734,1519437340936649,,15,0,
1368880,1943741,1519437410936649,,15,0,
1368880,1943744,1519437440936649,,15,0,
1368880,1943756,1519437560936649,,15,0,
1368880,1943757,1519437570936649,,15,0,
1368880,1943772,1519437720936649,,15,0,
1368880,1943663,1619436630936649,,16,0,
1368880,1943732,1619437320936649,,16,0,
1368880,1943734,1619437340936649,,16,0,
1368880,1943741,1619437410936649,,16,0,
1368880,1943744,1619437440936649,,16,0,
1368880,1943756,1619437560936649,,16,0,
1368880,1943757,1619437570936649,,16,0,
1368880,1943772,1619437720936649,,16,0,
1368880,1943663,1719436630936649,,17,0,
1368880,1943732,1719437320936649,,17,0,
1368880,1943734,1719437340936649,,17,0,
1368880,1943741,1719437410936649,,17,0,
1368880,1943744,1719437440936649,,17,0,
1368880,1943756,1719437560936649,,17,0,
1368880,1943757,1719437570936649,,17,0,
1368880,1943772,1719437720936649,,17,0,
1368880,1943663,1819436630936649,,18,0,
1368880,1943732,1819437320936649,,18,0,
1368880,1943734,1819437340936649,,18,0,
1368880,1943741,1819437410936649,,18,0,
1368880,1943744,1819437440936649,,18,0,
1368880,1943756,1819437560936649,,18,0,
1368880,1943757,1819437570936649,,18,0,
1368880,1943772,1819437720936649,,18,0,
1368880,1943663,1919436630936649,,19,0,
1368880,1943732,1919437320936649,,19,0,
1368880,1943734,1919437340936649,,19,0,
1368880,1943741,1919437410936649,,19,0,
1368880,1943744,1919437440936649,,19,0,
1368880,1943756,1919437560936649,,19,0,
1368880,1943757,1919437570936649,,19,0,
1368880,1943772,1919437720936649,,19,0,
1368880,1943663,2019436630936649,,20,0,
1368880,1943732,2019437320936649,,20,0,
1368880,1943734,2019437340936649,,20,0,
1368880,1943741,2019437410936649,,20,0,
1368880,1943744,2019437440936649,,20,0,
1368880,1943756,2019437560936649,,20,0,
1368880,1943757,2019437570936649,,20,0,
1368880,1943772,2019437720936649,,20,0,
1368880,1943663,2119436630936649,,21,0,
1368880,1943732,2119437320936649,,21,0,
1368880,1943734,2119437340936649,,21,0,
1368880,1943741,2119437410936649,,21,0,
1368880,1943744,2119437440936649,,21,0,
1368880,1943756,2119437560936649,,21,0,
1368880,1943757,2119437570936649,,21,0,
1368880,1943772,2119437720936649,,21,0,
1368880,1943663,219436630936649,,2,0,
1368880,1943732,219437320936649,,2,0,
1368880,1943734,219437340936649,,2,0,
1368880,1943741,219437410936649,,2,0,
1368880,1943744,219437440936649,,2,0,
1368880,1943756,219437560936649,,2,0,
1368880,1943757,219437570936649,,2,0,
1368880,1943772,219437720936649,,2,0,
1368880,1943663,2219436630936649,,22,0,
1368880,1943732,2219437320936649,,22,0,
1368880,1943734,2219437340936649,,22,0,
1368880,1943741,2219437410936649,,22,0,
1368880,1943744,2219437440936649,,22,0,
1368880,1943756,2219437560936649,,22,0,
1368880,1943757,2219437570936649,,22,0,
1368880,1943772,2219437720936649,,22,0,
1368880,1943663,2319436630936649,,23,0,
1368880,1943732,2319437320936649,,23,0,
1368880,1943734,2319437340936649,,23,0,
1368880,1943741,2319437410936649,,23,0,
1368880,1943744,2319437440936649,,23,0,
1368880,1943756,2319437560936649,,23,0,
1368880,1943757,2319437570936649,,23,0,
1368880,1943772,2319437720936649,,23,0,
1368880,1943663,2419436630936649,,24,0,
1368880,1943732,2419437320936649,,24,0,
1368880,1943734,2419437340936649,,24,0,
1368880,1943741,2419437410936649,,24,0,
