from_stop_id,to_stop_id,transfer_type,min_transfer_time
4117707,4035752,2,116
3731652,4117665,2,117
4117695,3666781,2,132
3731652,4117664,2,92
4117663,4035881,2,100
3731652,4117663,2,111
4117663,4035880,2,128
4117663,4036941,2,67
3731652,4117662,2,47
5605630,4117675,2,63
5605630,4117674,2,32
4117656,4036936,2,11
4117657,3664392,2,16
4117686,4274299,2,13
4117656,4036935,2,11
4117665,4036941,2,122
4117663,4036944,2,100
4117663,4036943,2,128
4117680,4035765,2,51
4117685,3450647,2,74
4117707,4274292,2,116
3714135,4117662,2,125
4117677,4035770,2,25
4117655,3798450,2,70
3714135,4117664,2,45
3714135,4117665,2,50
4117685,4035762,2,74
3714127,4117669,2,19
4117679,4035768,2,44
3714134,4117665,2,115
4117696,4035750,2,11
4117655,5150390,2,64
3714134,4117664,2,95
4117655,5150391,2,51
4117701,4274286,2,68
3714134,4117662,2,141
4117655,3798449,2,68
3714139,4117661,2,81
4117687,4274300,2,13
4117693,4035754,2,16
4117704,3666571,2,89
4117656,3664389,2,62
4117655,5150454,2,64
4117705,3666682,2,89
4117688,3450651,2,103
4117708,4035827,2,103
4117688,3450652,2,88
4117656,3664390,2,19
4117657,5150535,2,16
4117705,3666734,2,89
2188,4117683,2,198
4117655,4035919,2,42
4117658,4889460,2,75
2188,4117682,2,205
1999,4117683,2,198
4117660,4036940,2,81
1999,4117682,2,205
4117658,4889461,2,63
4117675,3713041,2,54
4117705,3666669,2,126
4117675,3713040,2,63
4117683,4035764,2,18
4117659,4036937,2,137
4117655,3689919,2,68
4117663,4035878,2,67
4117705,3666721,2,126
4117675,3712986,2,54
4117695,3666687,2,132
4117675,3712985,2,63
4117695,3666686,2,132
4117656,5150390,2,114
4117664,3798457,2,100
4117655,3689920,2,31
4117675,4208501,2,54
4117705,3666617,2,126
4117658,4889496,2,75
4117658,4889497,2,63
4117656,4889494,2,62
4117658,4889492,2,137
4117656,4889493,2,62
4117656,4035534,2,11
4117656,4035535,2,72
4117665,3798457,2,115
4117686,4035759,2,13
4117655,4889458,2,24
4117687,4035760,2,13
4117655,4889457,2,24
4117662,4036942,2,67
4117662,4036944,2,118
4117665,4035878,2,122
4117662,4036943,2,137
4117694,4035752,2,103
4117656,3708465,2,114
4117685,4274302,2,74
4117674,4035826,2,108
4117707,4035827,2,23
4117704,3666682,2,89
3731650,4117663,2,100
4117694,4035751,2,23
4117695,3666738,2,132
3731650,4117662,2,118
4117695,3666739,2,132
4117708,4274314,2,103
3731650,4117664,2,121
4117691,4035756,2,29
4117657,3708538,2,16
4117655,4614626,2,18
4117655,4614627,2,18
3714137,4117664,2,87
4117658,3664394,2,63
4117660,4035877,2,81
3714137,4117663,2,67
4117658,3664393,2,75
4117657,4035536,2,9
4117658,4036938,2,137
3714137,4117665,2,122
4117697,4274288,2,98
4117656,4614715,2,34
4117656,4614716,2,34
4117708,4035751,2,116
4117681,4035766,2,51
4117705,3666778,2,89
4117695,3666634,2,132
4117695,3666635,2,132
4117692,4035753,2,16
2089,4117656,2,207
2089,4117655,2,210
4117655,3688572,2,68
4117657,3688573,2,9
4117655,3688571,2,68
4117664,4036943,2,120
3714143,4117655,2,39
4117695,4274289,2,27
4117664,4036944,2,121
3714143,4117656,2,11
5605631,4117675,2,54
4117656,4889457,2,62
3714141,4117659,2,137
2550,4117656,2,207
4117675,3712942,2,63
2550,4117655,2,210
4117675,3712943,2,54
4117656,4889458,2,62
4117705,3666769,2,126
3714126,4117668,2,19
4117659,3664394,2,144
4117664,4036942,2,139
4117705,3666630,2,89
4117664,4036941,2,87
4117655,4614715,2,18
4117695,4274284,2,132
4117695,4274283,2,132
4117655,4614716,2,18
4117656,4035919,2,72
4117678,4035767,2,44
4117674,3713102,2,32
4117656,4614627,2,34
4117656,4614626,2,34
3714125,4117671,2,15
4658184,4117705,2,89
4658184,4117704,2,89
3731653,4117664,2,83
3731653,4117663,2,131
4117656,3798450,2,120
3731653,4117662,2,64
4117704,3666630,2,89
4117675,4035826,2,77
4117656,3689920,2,54
4117704,3666778,2,89
4117655,4889494,2,24
4117655,4889493,2,24
4117659,4889497,2,144
3731653,4117665,2,99
4117683,4274304,2,18
4658234,4117705,2,89
4658234,4117704,2,89
4117656,3689919,2,117
4117707,4274314,2,23
4117702,4274285,2,28
4117691,4274296,2,29
4117684,3450648,2,74
4117661,4035876,2,81
4117662,4035881,2,118
4117692,4274293,2,16
4117662,4035880,2,137
4117704,4274285,2,124
3714128,4117667,2,110
4117684,4035761,2,74
4658197,4117705,2,118
4658197,4117704,2,118
3714129,4117666,2,123
3714129,4117667,2,103
4658251,4117705,2,118
3714128,4117666,2,133
4658251,4117704,2,118
4117674,3712942,2,32
4117682,3450646,2,18
5605643,4117683,2,18
4117699,4274287,2,15
3714124,4117670,2,15
4117655,4614756,2,18
4117656,4614756,2,34
4117675,3713102,2,63
4117655,4035534,2,39
4117655,4035535,2,42
3714136,4117662,2,67
4117682,4274303,2,18
4117655,3664390,2,37
4117708,4274291,2,116
4117688,4035757,2,47
3714136,4117664,2,139
4117704,3666669,2,126
3731651,4117663,2,128
3731651,4117664,2,120
4117693,4274294,2,16
4117657,4035569,2,99
4117662,4035879,2,67
4117689,4274298,2,47
4117656,3798449,2,119
4117655,3664389,2,24
3731651,4117662,2,137
4117704,3666769,2,126
4117655,4036935,2,39
4117656,3688571,2,117
4117656,3688572,2,117
3714142,4117655,2,42
4117657,3689918,2,99
4117664,4035878,2,87
4117655,4036936,2,39
4117664,4035879,2,139
3714142,4117656,2,72
4117658,3664427,2,137
4117688,4274297,2,47
4117704,3666734,2,89
4117656,5150454,2,114
3714138,4117660,2,81
4117682,4035763,2,18
4117659,4035874,2,137
4117687,3450649,2,13
4117657,3708488,2,16
4117686,3450650,2,13
4117690,4274295,2,29
4117659,4889461,2,144
4117664,4035881,2,121
4117664,4035880,2,120
4117658,4889530,2,137
4117690,4035755,2,29
4117696,4274290,2,27
4117675,3713139,2,54
4117689,4035758,2,47
4117695,4035750,2,22
4117683,3450645,2,18
4117695,3666576,2,132
3714140,4117658,2,137
4117705,4274285,2,124
4117684,4274301,2,74
4117655,5150490,2,51
4117695,3666575,2,132
4117674,3712985,2,32
4117657,5150442,2,16
4117704,3666617,2,126
4117676,4035769,2,25
4117661,4036939,2,81
4117694,4274291,2,23
4117694,4274292,2,103
4117656,5150335,2,114
4117658,4035875,2,137
4117689,3450652,2,63
4117689,3450651,2,73
4117705,3666571,2,89
4117655,3708511,2,51
5605644,4117682,2,18
4117655,3708510,2,64
4117657,3689921,2,9
4117655,3708465,2,64
4117655,3708466,2,51
4117656,5150489,2,114
4117656,3708510,2,114
4117704,3666721,2,126
4117655,5150335,2,64
4117655,5150489,2,64
4117674,3713040,2,32
4117695,4035749,2,132
